trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,toufepos,folkeirrai,folkeirrai,toufepos,MORE_LESS_word_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is more/greater than toufepos in all respects

Q: Which is more bold, folkeirrai or toufepos? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,toufepos,folkeirrai,toufepos,folkeirrai,MORE_LESS_word_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is less/smaller than toufepos in all respects

Q: Which is more bold, folkeirrai or toufepos? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,toufepos,folkeirrai,folkeirrai,toufepos,MORE_LESS_word_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is more/greater than toufepos in all respects

Q: Which is more complex, folkeirrai or toufepos? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,toufepos,folkeirrai,toufepos,folkeirrai,MORE_LESS_word_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is less/smaller than toufepos in all respects

Q: Which is more complex, folkeirrai or toufepos? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,toufepos,folkeirrai,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the same as toufepos

Q: Is folkeirrai cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,toufepos,folkeirrai,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the opposite of toufepos

Q: Is folkeirrai cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,toufepos,folkeirrai,complex,simple,SAMEOPP_choice_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the same as toufepos

Q: Is folkeirrai simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,toufepos,folkeirrai,simple,complex,SAMEOPP_choice_swap,"Definitions:
- toufepos: something that is bold and complex
- folkeirrai is the opposite of toufepos

Q: Is folkeirrai simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,nurmonkuk,tesfaisol,tesfaisol,nurmonkuk,MORE_LESS_word_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is more/greater than nurmonkuk in all respects

Q: Which is more bold, tesfaisol or nurmonkuk? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,nurmonkuk,tesfaisol,nurmonkuk,tesfaisol,MORE_LESS_word_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is less/smaller than nurmonkuk in all respects

Q: Which is more bold, tesfaisol or nurmonkuk? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,nurmonkuk,tesfaisol,tesfaisol,nurmonkuk,MORE_LESS_word_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is more/greater than nurmonkuk in all respects

Q: Which is more complex, tesfaisol or nurmonkuk? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,nurmonkuk,tesfaisol,nurmonkuk,tesfaisol,MORE_LESS_word_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is less/smaller than nurmonkuk in all respects

Q: Which is more complex, tesfaisol or nurmonkuk? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,nurmonkuk,tesfaisol,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the same as nurmonkuk

Q: Is tesfaisol cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,nurmonkuk,tesfaisol,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the opposite of nurmonkuk

Q: Is tesfaisol cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,nurmonkuk,tesfaisol,complex,simple,SAMEOPP_choice_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the same as nurmonkuk

Q: Is tesfaisol simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair1,OPP_Q_pair1,OPP,Q,pair1,nurmonkuk,tesfaisol,simple,complex,SAMEOPP_choice_swap,"Definitions:
- nurmonkuk: something that is bold and complex
- tesfaisol is the opposite of nurmonkuk

Q: Is tesfaisol simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair2,MORE_P_pair2,MORE,P,pair2,borpleispat,mensoskris,mensoskris,borpleispat,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more bold, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair2,LESS_P_pair2,LESS,P,pair2,borpleispat,mensoskris,borpleispat,mensoskris,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more bold, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair2,MORE_Q_pair2,MORE,Q,pair2,borpleispat,mensoskris,mensoskris,borpleispat,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is more/greater than borpleispat in all respects

Q: Which is more complex, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair2,LESS_Q_pair2,LESS,Q,pair2,borpleispat,mensoskris,borpleispat,mensoskris,MORE_LESS_word_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is less/smaller than borpleispat in all respects

Q: Which is more complex, mensoskris or borpleispat? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair2,SAME_P_pair2,SAME,P,pair2,borpleispat,mensoskris,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair2,OPP_P_pair2,OPP,P,pair2,borpleispat,mensoskris,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the opposite of borpleispat

Q: Is mensoskris cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair2,SAME_Q_pair2,SAME,Q,pair2,borpleispat,mensoskris,complex,simple,SAMEOPP_choice_swap,"Definitions:
- borpleispat: something that is bold and complex
- mensoskris is the same as borpleispat

Q: Is mensoskris simple or complex? (Answer EXACTLY ONE WORD)
A:"
