trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used,swap_type
POSBIAS_MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,10.0,1,True, linprarsun, linprarsun,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.125,1,True, molwainmom, molwainmom,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,9.875,1,True, linprarsun, linprarsun,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.3125,1,True, molwainmom, molwainmom,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,14265,46878,7.625,2,False, Bold, Bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,46878,14265,7.9375,1,True, cautious, cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,6485,4382,7.6875,2,False, complex, complex,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,4382,6485,7.0,1,True, simple, simple,True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair1,MORE,P,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,7245,11716,6.8125,1,True, plelsposrun, plelsposrun,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair1,LESS,P,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,11716,7245,6.875,1,True, tunzordem, tunzordem,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair1,MORE,Q,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,7245,11716,6.8125,1,True, plelsposrun, plelsposrun,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair1,LESS,Q,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,11716,7245,7.125,1,True, tunzordem, tunzordem,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair1,SAME,P,pair1,tunzordem,plelsposrun,bold,cautious,14265,46878,9.0,2,False, bold, bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair1,OPP,P,pair1,tunzordem,plelsposrun,cautious,bold,46878,14265,7.4375,1,True, Cautious, Cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair1,SAME,Q,pair1,tunzordem,plelsposrun,complex,simple,6485,4382,7.1875,2,False, Complex, Complex,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair1,OPP,Q,pair1,tunzordem,plelsposrun,simple,complex,4382,6485,5.6875,2,False, Simple, Simple,True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair2,MORE,P,pair2,tregeilnel,dansoszeis,dansoszeis,tregeilnel,7010,4353,5.75,1,True, dansoszeis, dansoszeis,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair2,LESS,P,pair2,tregeilnel,dansoszeis,tregeilnel,dansoszeis,4353,7010,6.0,1,True, tregeilnel, tregeilnel,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair2,MORE,Q,pair2,tregeilnel,dansoszeis,dansoszeis,tregeilnel,7010,4353,5.5,1,True, dansoszeis, dansoszeis,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair2,LESS,Q,pair2,tregeilnel,dansoszeis,tregeilnel,dansoszeis,4353,7010,6.25,1,True, tregeilnel, tregeilnel,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair2,SAME,P,pair2,tregeilnel,dansoszeis,bold,cautious,14265,46878,8.875,2,False, Bold, Bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair2,OPP,P,pair2,tregeilnel,dansoszeis,cautious,bold,46878,14265,7.0625,1,True, cautious, cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair2,SAME,Q,pair2,tregeilnel,dansoszeis,complex,simple,6485,4382,7.875,2,False, Complex, Complex,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair2,OPP,Q,pair2,tregeilnel,dansoszeis,simple,complex,4382,6485,5.8125,2,False, Simple, Simple,True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair3,MORE,P,pair3,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,8.5,1,True, wonillam, wonillam,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair3,LESS,P,pair3,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,7.75,1,True, zurvaspit, zurvaspit,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair3,MORE,Q,pair3,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,7.75,1,True, Wonillam, Wonillam,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair3,LESS,Q,pair3,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,7.6875,1,True, zurvaspit, zurvaspit,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair3,SAME,P,pair3,zurvaspit,wonillam,bold,cautious,14265,46878,8.875,2,False, bold, bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair3,OPP,P,pair3,zurvaspit,wonillam,cautious,bold,46878,14265,7.25,2,False, cautious, cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair3,SAME,Q,pair3,zurvaspit,wonillam,complex,simple,6485,4382,7.6875,2,False, Complex, Complex,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair3,OPP,Q,pair3,zurvaspit,wonillam,simple,complex,4382,6485,7.125,2,False, Simple, Simple,True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair4,MORE,P,pair4,gulroflek,lubuslok,lubuslok,gulroflek,28445,91370,6.75,1,True, Lubuslok, Lubuslok,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair4,LESS,P,pair4,gulroflek,lubuslok,gulroflek,lubuslok,91370,28445,7.5,1,True, gulroflek, gulroflek,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair4,MORE,Q,pair4,gulroflek,lubuslok,lubuslok,gulroflek,28445,91370,6.6875,1,True, lubuslok, lubuslok,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair4,LESS,Q,pair4,gulroflek,lubuslok,gulroflek,lubuslok,91370,28445,7.3125,1,True, gulroflek, gulroflek,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair4,SAME,P,pair4,gulroflek,lubuslok,bold,cautious,14265,46878,9.5,1,True, Bold, Bold,True,True,50,SAMEOPP_choice_swap
