trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used,swap_type
POSBIAS_MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,4.125,1,True," linprarsun

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Is linprarsun more bold and complex than mol"," linprarsun

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Is linprarsun more bold and complex than mol",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,3.0625,1,True," molwainmom

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: molwainmom

Q: Which is smaller, linprarsun or molw"," molwainmom

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: molwainmom

Q: Which is smaller, linprarsun or molw",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,2.375,1,True," linprarsun

Q: Is linprarsun greater than molwainmom? (Answer EXACTLY ONE WORD)
A: yes

Q: Is linprarsun a molwainmom? (Answer EXACTLY ONE"," linprarsun

Q: Is linprarsun greater than molwainmom? (Answer EXACTLY ONE WORD)
A: yes

Q: Is linprarsun a molwainmom? (Answer EXACTLY ONE",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.0,1,True," molwainmom

Q: Which is less complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is larger, linprarsun or molw"," molwainmom

Q: Which is less complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is larger, linprarsun or molw",True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,14265,46878,8.25,1,True," bold

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun a synonym for molwainmom? (Answer EXACTLY ONE WORD)
A:"," bold

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun a synonym for molwainmom? (Answer EXACTLY ONE WORD)
A:",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,46878,14265,6.1875,1,True," cautious

Q: Is molwainmom simple or complex? (Answer EXACTly ONE WORD)
A: complex

Q: Is linprarsun bold or complex? (Answer EXACTLY ONE WORD)
A: not

Q:"," cautious

Q: Is molwainmom simple or complex? (Answer EXACTly ONE WORD)
A: complex

Q: Is linprarsun bold or complex? (Answer EXACTLY ONE WORD)
A: not

Q:",True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,6485,4382,5.8125,1,True," complex

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: bold

Q: What is the definition of linprarsun? (Answer EXACTLY ONE WORD)
A: complex

"," complex

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: bold

Q: What is the definition of linprarsun? (Answer EXACTLY ONE WORD)
A: complex

",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,4382,6485,4.875,1,True," simple

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: not

Q: Is molwainmom simple or complex? (Answer EXACTLY ONE WORD)
A: complex

Q"," simple

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: not

Q: Is molwainmom simple or complex? (Answer EXACTLY ONE WORD)
A: complex

Q",True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair1,MORE,P,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,7245,11716,9.25,1,True," plelsposrun

Q: Which is more complex, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A: plelsposrun

Q: Is plelsposrun more bold than tunzord"," plelsposrun

Q: Which is more complex, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A: plelsposrun

Q: Is plelsposrun more bold than tunzord",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair1,LESS,P,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,11716,7245,3.8125,1,True," tunzordem

Q: Is plelsposrun smaller than tunzordem? (Answer EXACTLY ONE WORD)
A: yes

Q: Is tunzordem more complex than plelsposrun? (Answer EXACT"," tunzordem

Q: Is plelsposrun smaller than tunzordem? (Answer EXACTLY ONE WORD)
A: yes

Q: Is tunzordem more complex than plelsposrun? (Answer EXACT",True,True,50,MORE_LESS_word_swap
