trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P101_10027,P101,Boris Delaunay,geometry,physics,17484,22027,44279, discrete,6,12.0625,6.75,5.3125,False,False
P101_10066,P101,Carl Hovland,psychology,physics,31018,22027,279, the,9,11.1875,7.5625,3.625,False,False
P103_0,P103,Danielle Darrieux,French,Russian,8753,8690,8753, French,1,16.375,9.75,6.625,True,True
P103_10038,P103,Alfred Capus,French,Russian,8753,8690,8753, French,1,15.5,9.9375,5.5625,True,True
P106_10026,P106,Henry Maudsley,psychiatrist,actor,73969,12360,10212, listed,40,8.625,5.4375,3.1875,False,False
P106_10076,P106,Georgina Leonidas,actor,politician,12360,37038,24577, actress,2,13.1875,7.0625,6.125,False,True
P108_10032,P108,Guido van Rossum,Google,BBC,5195,18588,5195, Google,1,17.0,5.59375,11.40625,True,True
P108_10064,P108,Krishna Bharat,Google,BBC,5195,18588,279, the,4,10.5625,5.6875,4.875,False,True
P127_10,P127,BBC One,BBC,Google,18588,5195,279, the,3,6.96875,1.6640625,5.3046875,False,True
P127_10040,P127,Cognos,IBM,Google,29022,5195,11,",",2,10.375,5.03125,5.34375,False,True
P1303_10011,P1303,Marvin Stamm,trumpet,piano,92359,27374,56400, vib,3,10.875,9.5625,1.3125,False,True
P1303_10017,P1303,Herbert Fryer,piano,guitar,27374,17418,279, the,7,7.875,7.78125,0.09375,False,False
P131_10018,P131,Schwules Museum,Berlin,Pennsylvania,20437,20355,279, the,3,13.875,4.9375,8.9375,False,True
P131_10045,P131,Neighborhoods in Detroit,Detroit,Pennsylvania,20344,20355,279, the,11,11.0625,3.03125,8.03125,False,False
P136_10043,P136,Mark Bucci,opera,jazz,43516,34997,264, a,270,6.125,7.40625,-1.28125,False,False
P136_10065,P136,Alexander O'Neal,funk,jazz,69392,34997,279, the,2347,2.546875,5.65625,-3.109375,False,False
P138_10042,P138,Beijing Capital International Airport,Beijing,Victoria,27647,23225,279, the,6,12.0,3.03125,8.96875,False,False
P138_1009,P138,HMAS Sydney,Sydney,Victoria,21972,23225,279, the,2,15.5625,8.75,6.8125,False,True
P140_1,P140,Edwin of Northumbria,Christianity,Islam,32186,15256,32186, Christianity,1,14.375,8.25,6.125,True,True
P140_100,P140,Jahangir,Islam,Christianity,15256,32186,15256, Islam,1,15.75,8.25,7.5,True,True
P1412_10009,P1412,Lin Huiyin,Chinese,English,8620,6498,315, of,108,8.9375,7.625,1.3125,False,False
P1412_10036,P1412,Dominique Perben,French,English,8753,6498,539, not,39,11.1875,8.625,2.5625,False,False
P159_1001,P159,Physikalisch-Technische Bundesanstalt,Brunswick,London,61250,7295,26531, Bra,2,15.375,7.28125,8.09375,False,True
P159_10015,P159,GIC Private Limited,Singapore,London,21181,7295,35812, Mumbai,2,14.0,12.0625,1.9375,False,True
P17_10005,P17,New Era University,Philippines,India,26363,6890,9605, Que,44,9.5,8.25,1.25,False,False
P17_10034,P17,Kojur District,Iran,India,10471,6890,279, the,34,10.1875,9.5625,0.625,False,False
P176_10014,P176,Honda CB550,Honda,Toyota,29987,30300,29987, Honda,1,17.0,8.0625,8.9375,True,True
P176_10044,P176,Toyota Mark II,Toyota,Honda,30300,29987,30300, Toyota,1,15.375,6.9375,8.4375,True,True
P178_10019,P178,Google Account,Google,Microsoft,5195,5210,5195, Google,1,15.0,9.5,5.5,True,True
P178_10020,P178,NTLDR,Microsoft,Apple,5210,8325,279, the,2,9.1875,5.65625,3.53125,False,True
P19_1002,P19,Michel Brault,Montreal,London,30613,7295,220, ,2,15.625,10.3125,5.3125,False,True
P19_10031,P19,Masako Natsume,Tokyo,London,27286,7295,279, the,4,10.6875,6.15625,4.53125,False,True
P190_10000,P190,Cincinnati,Munich,Istanbul,47304,54468,59900, Newport,750,6.125,5.46875,0.65625,False,False
P190_10006,P190,Athens,Kiev,Istanbul,62725,54468,666, Th,345,7.25,9.8125,-2.5625,False,False
P20_10007,P20,Sa'd al-Dawla,Aleppo,London,58221,7295,220, ,45,10.8125,7.0,3.8125,False,False
P20_1008,P20,Greer Lankton,Chicago,London,10780,7295,1561, New,5,8.9375,9.4375,-0.5,False,True
P264_1000,P264,Purple Hearts,Sunshine,Brunswick,62394,61250,2663, called,2074,2.40625,1.09375,1.3125,False,False
P264_10597,P264,Meredith Andrews,Word,Brunswick,9506,61250,279, the,23,7.625,3.296875,4.328125,False,False
P27_10002,P27,Colmar Freiherr von der Goltz,Germany,Canada,10057,7008,10057, Germany,1,14.9375,8.375,6.5625,True,True
P27_10008,P27,Paolo Martin,Italy,Canada,15704,7008,15704, Italy,1,12.875,10.0,2.875,True,True
P276_10021,P276,Jay Treaty,London,Melbourne,7295,27535,279, the,593,5.21875,2.453125,2.765625,False,False
P276_10062,P276,Chelyabinsk meteor,Russia,London,8524,7295,13160, marked,7,12.8125,1.578125,11.234375,False,False
P30_10003,P30,Liard Island,Antarctica,Europe,72787,4606,279, the,21,10.5625,6.0,4.5625,False,False
P30_10028,P30,Whillans Ice Stream,Antarctica,Europe,72787,4606,72787, Antarctica,1,16.75,10.8125,5.9375,True,True
P36_10035,P36,Saxony,Dresden,Paris,86545,12366,86545, Dresden,1,16.375,5.0,11.375,True,True
P36_10369,P36,Second French Empire,Paris,Prague,12366,68389,12366, Paris,1,13.1875,6.375,6.8125,True,True
P364_10013,P364,Conjunctions,English,French,6498,8753,6498, English,1,12.1875,11.375,0.8125,True,True
P364_10039,P364,Rasigan,Tamil,English,44883,6498,264, a,48,9.875,8.5,1.375,False,False
P37_10078,P37,Papua New Guinea,English,Finnish,6498,58953,22164, Tok,2,16.0,5.34375,10.65625,False,True
P37_10134,P37,Zimbabwe,English,Finnish,6498,58953,1443, Sh,2,16.5,4.25,12.25,False,True
P39_10010,P39,Maximianus of Ravenna,bishop,pope,54306,64372,1695, good,63,10.125,6.5625,3.5625,False,False
P39_10025,P39,Bernard Tissier de Mallerais,bishop,pope,54306,64372,721, _,57,9.25,4.6875,4.5625,False,False
P407_10033,P407,Vogue Italia,Italian,French,15155,8753,539, not,11,11.8125,7.9375,3.875,False,False
P407_10082,P407,I Got a Boy,Korean,French,16526,8753,264, a,9,11.1875,7.75,3.4375,False,False
P413_10029,P413,Don Meredith,quarterback,midfielder,20046,45067,315, of,6,11.6875,6.34375,5.34375,False,False
P413_1006,P413,Jonathan Goff,linebacker,midfielder,48800,45067,41047, Goal,201,7.84375,12.8125,-4.96875,False,False
P449_10023,P449,Whew!,CBS,NBC,24991,24426,220, ,93,8.3125,6.78125,1.53125,False,False
P449_10104,P449,Dough Re Mi,NBC,CBS,24426,24991,23469, Netflix,16,11.625,11.5,0.125,False,False
P463_10050,P463,Football Association of Zambia,FIFA,NATO,44742,30334,39144, Confeder,3,12.875,2.796875,10.078125,False,True
P463_10121,P463,Tajikistan National Football Federation,FIFA,NATO,44742,30334,44742, FIFA,1,15.6875,5.0,10.6875,True,True
P495_10012,P495,Franco-Belgian comics,Belgium,Japan,34061,6457,279, the,10,12.9375,8.4375,4.5,False,False
