trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,werbinbrir,belbrensul,bold,cautious,14265,46878,attribute_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is the same as werbinbrir

Q: Is belbrensul bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,werbinbrir,belbrensul,cautious,bold,46878,14265,attribute_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is the opposite of werbinbrir

Q: Is belbrensul bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,werbinbrir,belbrensul,complex,simple,6485,4382,attribute_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is the same as werbinbrir

Q: Is belbrensul complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,werbinbrir,belbrensul,simple,complex,4382,6485,attribute_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is the opposite of werbinbrir

Q: Is belbrensul complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,werbinbrir,belbrensul,belbrensul,werbinbrir,1689,7205,novel_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is more/greater than werbinbrir in all respects

Q: Which is more bold, werbinbrir or belbrensul? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,werbinbrir,belbrensul,werbinbrir,belbrensul,7205,1689,novel_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is less/smaller than werbinbrir in all respects

Q: Which is more bold, werbinbrir or belbrensul? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,werbinbrir,belbrensul,belbrensul,werbinbrir,1689,7205,novel_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is more/greater than werbinbrir in all respects

Q: Which is more complex, werbinbrir or belbrensul? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,werbinbrir,belbrensul,werbinbrir,belbrensul,7205,1689,novel_word,"Definitions:
- werbinbrir: something that is bold and complex
- belbrensul is less/smaller than werbinbrir in all respects

Q: Which is more complex, werbinbrir or belbrensul? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,rosbrullail,bolgrolvem,bold,cautious,14265,46878,attribute_word,"Definitions:
- rosbrullail: something that is bold and complex
- bolgrolvem is the same as rosbrullail

Q: Is bolgrolvem bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,rosbrullail,bolgrolvem,cautious,bold,46878,14265,attribute_word,"Definitions:
- rosbrullail: something that is bold and complex
- bolgrolvem is the opposite of rosbrullail

Q: Is bolgrolvem bold or cautious? (Answer EXACTLY ONE WORD)
A:"
