trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used
SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,14265,46878,5.4375,1,True, bold, bold,True,True,50
OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,46878,14265,8.25,1,True, Cautious, Cautious,True,True,50
SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,6485,4382,4.875,2,False, Complex, Complex,True,True,50
OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,4382,6485,7.9375,1,True, simple, simple,True,True,50
MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,8.75,1,True, linprarsun, linprarsun,True,True,50
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.75,1,True, molwainmom, molwainmom,True,True,50
MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,8.6875,1,True, linprarsun, linprarsun,True,True,50
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,5.0625,1,True, molwainmom, molwainmom,True,True,50
SAME_P_pair1,SAME,P,pair1,tunzordem,plelsposrun,bold,cautious,14265,46878,6.0,2,False, Bold, Bold,True,True,50
OPP_P_pair1,OPP,P,pair1,tunzordem,plelsposrun,cautious,bold,46878,14265,9.0,1,True, cautious, cautious,True,True,50
SAME_Q_pair1,SAME,Q,pair1,tunzordem,plelsposrun,complex,simple,6485,4382,4.5625,2,False, Complex, Complex,True,True,50
OPP_Q_pair1,OPP,Q,pair1,tunzordem,plelsposrun,simple,complex,4382,6485,7.25,1,True, simple, simple,True,True,50
MORE_P_pair1,MORE,P,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,7245,11716,5.75,1,True, plelsposrun, plelsposrun,True,True,50
LESS_P_pair1,LESS,P,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,11716,7245,8.0625,1,True, tunzordem, tunzordem,True,True,50
MORE_Q_pair1,MORE,Q,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,7245,11716,5.9375,1,True, plelsposrun, plelsposrun,True,True,50
LESS_Q_pair1,LESS,Q,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,11716,7245,8.5,1,True, tunzordem, tunzordem,True,True,50
SAME_P_pair2,SAME,P,pair2,tregeilnel,dansoszeis,bold,cautious,14265,46878,6.5625,2,False, bold, bold,True,True,50
OPP_P_pair2,OPP,P,pair2,tregeilnel,dansoszeis,cautious,bold,46878,14265,8.0625,1,True, cautious, cautious,True,True,50
SAME_Q_pair2,SAME,Q,pair2,tregeilnel,dansoszeis,complex,simple,6485,4382,5.0625,2,False, Complex, Complex,True,True,50
OPP_Q_pair2,OPP,Q,pair2,tregeilnel,dansoszeis,simple,complex,4382,6485,7.625,2,False, Simple, Simple,True,True,50
MORE_P_pair2,MORE,P,pair2,tregeilnel,dansoszeis,dansoszeis,tregeilnel,7010,4353,5.625,1,True, dansoszeis, dansoszeis,True,True,50
LESS_P_pair2,LESS,P,pair2,tregeilnel,dansoszeis,tregeilnel,dansoszeis,4353,7010,6.5,1,True, tregeilnel, tregeilnel,True,True,50
MORE_Q_pair2,MORE,Q,pair2,tregeilnel,dansoszeis,dansoszeis,tregeilnel,7010,4353,5.4375,1,True, dansoszeis, dansoszeis,True,True,50
