trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,MORE_LESS_word_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is more/greater than mitailplus in all respects

Q: Which is more bold, ginrorzes or mitailplus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,MORE_LESS_word_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is less/smaller than mitailplus in all respects

Q: Which is more bold, ginrorzes or mitailplus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,MORE_LESS_word_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is more/greater than mitailplus in all respects

Q: Which is more complex, ginrorzes or mitailplus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,MORE_LESS_word_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is less/smaller than mitailplus in all respects

Q: Which is more complex, ginrorzes or mitailplus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,mitailplus,ginrorzes,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the same as mitailplus

Q: Is ginrorzes cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,mitailplus,ginrorzes,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the opposite of mitailplus

Q: Is ginrorzes cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,mitailplus,ginrorzes,complex,simple,SAMEOPP_choice_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the same as mitailplus

Q: Is ginrorzes simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,mitailplus,ginrorzes,simple,complex,SAMEOPP_choice_swap,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the opposite of mitailplus

Q: Is ginrorzes simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,molwainmom,linprarsun,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,molwainmom,linprarsun,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,molwainmom,linprarsun,complex,simple,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair1,OPP_Q_pair1,OPP,Q,pair1,molwainmom,linprarsun,simple,complex,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair2,MORE_P_pair2,MORE,P,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,MORE_LESS_word_swap,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is more/greater than fingreibrem in all respects

Q: Which is more bold, troulruprel or fingreibrem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair2,LESS_P_pair2,LESS,P,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,MORE_LESS_word_swap,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is less/smaller than fingreibrem in all respects

Q: Which is more bold, troulruprel or fingreibrem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair2,MORE_Q_pair2,MORE,Q,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,MORE_LESS_word_swap,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is more/greater than fingreibrem in all respects

Q: Which is more complex, troulruprel or fingreibrem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair2,LESS_Q_pair2,LESS,Q,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,MORE_LESS_word_swap,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is less/smaller than fingreibrem in all respects

Q: Which is more complex, troulruprel or fingreibrem? (Answer EXACTLY ONE WORD)
A:"
