trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,mitailplus,ginrorzes,bold,cautious,attribute_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the same as mitailplus

Q: Is ginrorzes bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,mitailplus,ginrorzes,cautious,bold,attribute_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the opposite of mitailplus

Q: Is ginrorzes bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,mitailplus,ginrorzes,complex,simple,attribute_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the same as mitailplus

Q: Is ginrorzes complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,mitailplus,ginrorzes,simple,complex,attribute_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is the opposite of mitailplus

Q: Is ginrorzes complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,novel_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is more/greater than mitailplus in all respects

Q: Which is more bold, mitailplus or ginrorzes? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,novel_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is less/smaller than mitailplus in all respects

Q: Which is more bold, mitailplus or ginrorzes? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,novel_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is more/greater than mitailplus in all respects

Q: Which is more complex, mitailplus or ginrorzes? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,novel_word,"Definitions:
- mitailplus: something that is bold and complex
- ginrorzes is less/smaller than mitailplus in all respects

Q: Which is more complex, mitailplus or ginrorzes? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,molwainmom,linprarsun,bold,cautious,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,molwainmom,linprarsun,cautious,bold,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,molwainmom,linprarsun,complex,simple,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,molwainmom,linprarsun,simple,complex,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,molwainmom,linprarsun,linprarsun,molwainmom,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more bold, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,molwainmom,linprarsun,molwainmom,linprarsun,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more bold, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,molwainmom,linprarsun,linprarsun,molwainmom,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,molwainmom,linprarsun,molwainmom,linprarsun,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,fingreibrem,troulruprel,bold,cautious,attribute_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is the same as fingreibrem

Q: Is troulruprel bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,fingreibrem,troulruprel,cautious,bold,attribute_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is the opposite of fingreibrem

Q: Is troulruprel bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,fingreibrem,troulruprel,complex,simple,attribute_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is the same as fingreibrem

Q: Is troulruprel complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair2,OPP,Q,pair2,fingreibrem,troulruprel,simple,complex,attribute_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is the opposite of fingreibrem

Q: Is troulruprel complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair2,MORE,P,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,novel_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is more/greater than fingreibrem in all respects

Q: Which is more bold, fingreibrem or troulruprel? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair2,LESS,P,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,novel_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is less/smaller than fingreibrem in all respects

Q: Which is more bold, fingreibrem or troulruprel? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair2,MORE,Q,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,novel_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is more/greater than fingreibrem in all respects

Q: Which is more complex, fingreibrem or troulruprel? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair2,LESS,Q,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,novel_word,"Definitions:
- fingreibrem: something that is bold and complex
- troulruprel is less/smaller than fingreibrem in all respects

Q: Which is more complex, fingreibrem or troulruprel? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair3,SAME,P,pair3,sursternaik,putreirdeim,bold,cautious,attribute_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is the same as sursternaik

Q: Is putreirdeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair3,OPP,P,pair3,sursternaik,putreirdeim,cautious,bold,attribute_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is the opposite of sursternaik

Q: Is putreirdeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair3,SAME,Q,pair3,sursternaik,putreirdeim,complex,simple,attribute_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is the same as sursternaik

Q: Is putreirdeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair3,OPP,Q,pair3,sursternaik,putreirdeim,simple,complex,attribute_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is the opposite of sursternaik

Q: Is putreirdeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair3,MORE,P,pair3,sursternaik,putreirdeim,putreirdeim,sursternaik,novel_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is more/greater than sursternaik in all respects

Q: Which is more bold, sursternaik or putreirdeim? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair3,LESS,P,pair3,sursternaik,putreirdeim,sursternaik,putreirdeim,novel_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is less/smaller than sursternaik in all respects

Q: Which is more bold, sursternaik or putreirdeim? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair3,MORE,Q,pair3,sursternaik,putreirdeim,putreirdeim,sursternaik,novel_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is more/greater than sursternaik in all respects

Q: Which is more complex, sursternaik or putreirdeim? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair3,LESS,Q,pair3,sursternaik,putreirdeim,sursternaik,putreirdeim,novel_word,"Definitions:
- sursternaik: something that is bold and complex
- putreirdeim is less/smaller than sursternaik in all respects

Q: Which is more complex, sursternaik or putreirdeim? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair4,SAME,P,pair4,dinbrokrat,boltrasgan,bold,cautious,attribute_word,"Definitions:
- dinbrokrat: something that is bold and complex
- boltrasgan is the same as dinbrokrat

Q: Is boltrasgan bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair4,OPP,P,pair4,dinbrokrat,boltrasgan,cautious,bold,attribute_word,"Definitions:
- dinbrokrat: something that is bold and complex
- boltrasgan is the opposite of dinbrokrat

Q: Is boltrasgan bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair4,SAME,Q,pair4,dinbrokrat,boltrasgan,complex,simple,attribute_word,"Definitions:
- dinbrokrat: something that is bold and complex
- boltrasgan is the same as dinbrokrat

Q: Is boltrasgan complex or simple? (Answer EXACTLY ONE WORD)
A:"
