trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P101_10027,P101,Boris Delaunay,geometry,physics,18271,16505,5194, computer,29,16.625,13.375,3.25,False,False
P101_10066,P101,Carl Hovland,psychology,physics,30157,16505,1791, best,52,17.375,6.09375,11.28125,False,False
P103_0,P103,Danielle Darrieux,French,Russian,7830,9203,7830, French,1,23.625,11.3125,12.3125,True,True
P103_10038,P103,Alfred Capus,French,Russian,7830,9203,9115, German,2,25.0,16.0,9.0,False,True
P106_10026,P106,Henry Maudsley,psychiatrist,actor,103880,13387,496, a,121,15.8125,12.125,3.6875,False,False
P106_10076,P106,Georgina Leonidas,actor,politician,13387,48101,21075, actress,3,22.625,5.625,17.0,False,True
P108_10032,P108,Guido van Rossum,Google,BBC,6475,23372,9265, Microsoft,5,25.25,4.5625,20.6875,False,True
P108_10064,P108,Krishna Bharat,Google,BBC,6475,23372,6475, Google,1,26.375,10.1875,16.1875,True,True
P127_10,P127,BBC One,BBC,Google,23372,6475,506, the,12,16.75,9.375,7.375,False,False
P127_10040,P127,Cognos,IBM,Google,31209,6475,236764,",",2,20.25,9.375,10.875,False,True
P1303_10011,P1303,Marvin Stamm,trumpet,piano,67748,20392,27639, alto,3,20.125,18.875,1.25,False,True
P1303_10017,P1303,Herbert Fryer,piano,guitar,20392,15583,506, the,7,18.625,18.0,0.625,False,False
P131_10018,P131,Schwules Museum,Berlin,Pennsylvania,15687,21436,496, a,2,25.375,7.0625,18.3125,False,True
P131_10045,P131,Neighborhoods in Detroit,Detroit,Pennsylvania,26217,21436,496, a,15,19.125,9.75,9.375,False,False
P136_10043,P136,Mark Bucci,opera,jazz,32960,32286,618, as,260,13.625,17.25,-3.625,False,False
P136_10065,P136,Alexander O'Neal,funk,jazz,29397,32286,506, the,20,17.375,15.75,1.625,False,False
P138_10042,P138,Beijing Capital International Airport,Beijing,Victoria,30530,19169,506, the,2,20.875,5.21875,15.65625,False,True
P138_1009,P138,HMAS Sydney,Sydney,Victoria,20616,19169,506, the,2,21.5,9.3125,12.1875,False,True
P140_1,P140,Edwin of Northumbria,Christianity,Islam,38790,13623,496, a,19,18.25,14.125,4.125,False,False
P140_100,P140,Jahangir,Islam,Christianity,13623,38790,13623, Islam,1,24.0,14.8125,9.1875,True,True
P1412_10009,P1412,Lin Huiyin,Chinese,English,8555,5422,529, of,107,13.8125,12.375,1.4375,False,False
P1412_10036,P1412,Dominique Perben,French,English,7830,5422,496, a,41,17.0,14.125,2.875,False,False
P159_1001,P159,Physikalisch-Technische Bundesanstalt,Brunswick,London,65431,5860,206961, Braunschweig,3,23.75,7.875,15.875,False,True
P159_10015,P159,GIC Private Limited,Singapore,London,19029,5860,19029, Singapore,1,26.125,17.25,8.875,True,True
P17_10005,P17,New Era University,Philippines,India,23514,4673,161967, Quezon,22,19.875,13.1875,6.6875,False,False
P17_10034,P17,Kojur District,Iran,India,16704,4673,506, the,39,16.125,14.6875,1.4375,False,False
P176_10014,P176,Honda CB550,Honda,Toyota,31171,31601,31171, Honda,1,23.875,14.0625,9.8125,True,True
