trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,pluswounwe,nilflerpem,bold,cautious,13939,45778,attribute_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is the same as pluswounwe

Q: Is nilflerpem bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,pluswounwe,nilflerpem,cautious,bold,45778,13939,attribute_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is the opposite of pluswounwe

Q: Is nilflerpem bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,pluswounwe,nilflerpem,complex,simple,6351,4285,attribute_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is the same as pluswounwe

Q: Is nilflerpem complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,pluswounwe,nilflerpem,simple,complex,4285,6351,attribute_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is the opposite of pluswounwe

Q: Is nilflerpem complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,pluswounwe,nilflerpem,nilflerpem,pluswounwe,2092,5519,novel_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is more/greater than pluswounwe in all respects

Q: Which is more bold, pluswounwe or nilflerpem? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,pluswounwe,nilflerpem,pluswounwe,nilflerpem,5519,2092,novel_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is less/smaller than pluswounwe in all respects

Q: Which is more bold, pluswounwe or nilflerpem? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,pluswounwe,nilflerpem,nilflerpem,pluswounwe,2092,5519,novel_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is more/greater than pluswounwe in all respects

Q: Which is more complex, pluswounwe or nilflerpem? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,pluswounwe,nilflerpem,pluswounwe,nilflerpem,5519,2092,novel_word,"Definitions:
- pluswounwe: something that is bold and complex
- nilflerpem is less/smaller than pluswounwe in all respects

Q: Which is more complex, pluswounwe or nilflerpem? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,bulrirles,plurporprom,bold,cautious,13939,45778,attribute_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is the same as bulrirles

Q: Is plurporprom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,bulrirles,plurporprom,cautious,bold,45778,13939,attribute_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is the opposite of bulrirles

Q: Is plurporprom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,bulrirles,plurporprom,complex,simple,6351,4285,attribute_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is the same as bulrirles

Q: Is plurporprom complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,bulrirles,plurporprom,simple,complex,4285,6351,attribute_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is the opposite of bulrirles

Q: Is plurporprom complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,bulrirles,plurporprom,plurporprom,bulrirles,59117,7028,novel_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is more/greater than bulrirles in all respects

Q: Which is more bold, bulrirles or plurporprom? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,bulrirles,plurporprom,bulrirles,plurporprom,7028,59117,novel_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is less/smaller than bulrirles in all respects

Q: Which is more bold, bulrirles or plurporprom? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,bulrirles,plurporprom,plurporprom,bulrirles,59117,7028,novel_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is more/greater than bulrirles in all respects

Q: Which is more complex, bulrirles or plurporprom? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,bulrirles,plurporprom,bulrirles,plurporprom,7028,59117,novel_word,"Definitions:
- bulrirles: something that is bold and complex
- plurporprom is less/smaller than bulrirles in all respects

Q: Which is more complex, bulrirles or plurporprom? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,bonstepeik,karplulon,bold,cautious,13939,45778,attribute_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is the same as bonstepeik

Q: Is karplulon bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,bonstepeik,karplulon,cautious,bold,45778,13939,attribute_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is the opposite of bonstepeik

Q: Is karplulon bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,bonstepeik,karplulon,complex,simple,6351,4285,attribute_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is the same as bonstepeik

Q: Is karplulon complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair2,OPP,Q,pair2,bonstepeik,karplulon,simple,complex,4285,6351,attribute_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is the opposite of bonstepeik

Q: Is karplulon complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair2,MORE,P,pair2,bonstepeik,karplulon,karplulon,bonstepeik,23425,7814,novel_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is more/greater than bonstepeik in all respects

Q: Which is more bold, bonstepeik or karplulon? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair2,LESS,P,pair2,bonstepeik,karplulon,bonstepeik,karplulon,7814,23425,novel_word,"Definitions:
- bonstepeik: something that is bold and complex
- karplulon is less/smaller than bonstepeik in all respects

Q: Which is more bold, bonstepeik or karplulon? (Answer EXACTLY ONE WORD)
A:"
