prompt_id,text
0,"When Charlie and John walked to the park, John gave a gift to"
1,"When Henry and Eve went to the restaurant, Eve gave the menu to"
2,"When Diana and Nina went to the restaurant, Nina gave the menu to"
3,"When Iris and Alice walked to the park, Alice gave a gift to"
4,"When Oscar and John went to the library, John passed a book to"
5,"When Jack and Kate went to the store, Kate gave a drink to"
6,"When Oscar and Bob arrived at the office, Bob handed a letter to"
7,"When Eve and Mary walked to the park, Mary gave a gift to"
8,"When John and Henry walked to the park, Henry gave a gift to"
9,"When Kate and Mary went to the library, Mary passed a book to"
10,"When Iris and Henry walked to the park, Henry gave a gift to"
11,"When John and Oscar arrived at the office, Oscar handed a letter to"
12,"When Jack and Henry went to the library, Henry passed a book to"
13,"When Bob and Nina walked to the park, Nina gave a gift to"
14,"When John and Jack walked to the park, Jack gave a gift to"
15,"When Mary and Kate walked to the park, Kate gave a gift to"
16,"When Iris and Charlie walked to the park, Charlie gave a gift to"
17,"When Eve and Nina walked to the park, Nina gave a gift to"
18,"When Nina and Jack walked to the park, Jack gave a gift to"
19,"When Diana and Frank walked to the park, Frank gave a gift to"
20,"When Frank and Mary walked to the park, Mary gave a gift to"
21,"When Nina and Iris went to the library, Iris passed a book to"
22,"When Henry and Diana went to the restaurant, Diana gave the menu to"
23,"When Kate and Eve went to the library, Eve passed a book to"
24,"When Oscar and Bob went to the restaurant, Bob gave the menu to"
25,"When Diana and Nina walked to the park, Nina gave a gift to"
26,"When Iris and Bob went to the restaurant, Bob gave the menu to"
27,"When Eve and Alice arrived at the office, Alice handed a letter to"
28,"When Iris and Oscar arrived at the office, Oscar handed a letter to"
29,"When Leo and Kate walked to the park, Kate gave a gift to"
30,"When John and Oscar arrived at the office, Oscar handed a letter to"
31,"When Leo and John arrived at the office, John handed a letter to"
32,"When Eve and Mary went to the library, Mary passed a book to"
33,"When Alice and Grace went to the library, Grace passed a book to"
34,"When Nina and Eve went to the restaurant, Eve gave the menu to"
35,"When Frank and Charlie arrived at the office, Charlie handed a letter to"
36,"When Grace and Leo went to the restaurant, Leo gave the menu to"
37,"When Diana and Alice went to the restaurant, Alice gave the menu to"
38,"When Grace and Oscar went to the store, Oscar gave a drink to"
39,"When Diana and Iris walked to the park, Iris gave a gift to"
40,"When Henry and Charlie went to the library, Charlie passed a book to"
41,"When Iris and Leo went to the restaurant, Leo gave the menu to"
42,"When Grace and Henry walked to the park, Henry gave a gift to"
43,"When Nina and Diana arrived at the office, Diana handed a letter to"
44,"When Nina and Henry walked to the park, Henry gave a gift to"
45,"When Kate and Oscar went to the restaurant, Oscar gave the menu to"
46,"When Iris and Oscar went to the store, Oscar gave a drink to"
47,"When Eve and Iris arrived at the office, Iris handed a letter to"
48,"When Oscar and Mary went to the library, Mary passed a book to"
49,"When Bob and Diana went to the restaurant, Diana gave the menu to"
50,"When Oscar and Charlie arrived at the office, Charlie handed a letter to"
51,"When Charlie and Jack arrived at the office, Jack handed a letter to"
52,"When Iris and John went to the library, John passed a book to"
53,"When Jack and Alice went to the store, Alice gave a drink to"
54,"When Iris and Mary went to the restaurant, Mary gave the menu to"
55,"When Diana and Leo arrived at the office, Leo handed a letter to"
56,"When Henry and Mary arrived at the office, Mary handed a letter to"
57,"When Alice and Nina went to the store, Nina gave a drink to"
58,"When Eve and John went to the store, John gave a drink to"
59,"When Eve and Leo arrived at the office, Leo handed a letter to"
60,"When Bob and Henry arrived at the office, Henry handed a letter to"
61,"When Mary and Frank went to the store, Frank gave a drink to"
62,"When Nina and Leo walked to the park, Leo gave a gift to"
63,"When Jack and John walked to the park, John gave a gift to"
64,"When Mary and Alice arrived at the office, Alice handed a letter to"
65,"When Jack and Charlie arrived at the office, Charlie handed a letter to"
66,"When Diana and Frank went to the library, Frank passed a book to"
67,"When Nina and Grace walked to the park, Grace gave a gift to"
68,"When John and Alice went to the store, Alice gave a drink to"
69,"When John and Diana went to the library, Diana passed a book to"
70,"When Jack and Mary walked to the park, Mary gave a gift to"
71,"When Nina and Alice went to the library, Alice passed a book to"
72,"When Nina and Iris went to the library, Iris passed a book to"
73,"When Oscar and Bob arrived at the office, Bob handed a letter to"
74,"When Bob and Diana went to the store, Diana gave a drink to"
75,"When John and Henry walked to the park, Henry gave a gift to"
76,"When Jack and Nina walked to the park, Nina gave a gift to"
77,"When Jack and Iris went to the restaurant, Iris gave the menu to"
78,"When Mary and Nina went to the store, Nina gave a drink to"
79,"When Iris and Kate went to the restaurant, Kate gave the menu to"
80,"When Eve and Henry went to the library, Henry passed a book to"
81,"When Jack and Diana went to the library, Diana passed a book to"
82,"When Mary and Iris arrived at the office, Iris handed a letter to"
83,"When Mary and Leo went to the library, Leo passed a book to"
84,"When Leo and Eve went to the store, Eve gave a drink to"
85,"When Grace and Henry went to the library, Henry passed a book to"
86,"When Henry and Nina went to the store, Nina gave a drink to"
87,"When Alice and Bob went to the store, Bob gave a drink to"
88,"When Mary and Frank walked to the park, Frank gave a gift to"
89,"When Bob and Charlie arrived at the office, Charlie handed a letter to"
90,"When Henry and Bob went to the library, Bob passed a book to"
91,"When Oscar and Frank went to the restaurant, Frank gave the menu to"
92,"When Jack and Eve went to the store, Eve gave a drink to"
93,"When Diana and Oscar walked to the park, Oscar gave a gift to"
94,"When Iris and Bob went to the restaurant, Bob gave the menu to"
95,"When Diana and Leo arrived at the office, Leo handed a letter to"
96,"When Grace and Alice arrived at the office, Alice handed a letter to"
97,"When Eve and Grace went to the store, Grace gave a drink to"
98,"When Iris and Frank arrived at the office, Frank handed a letter to"
99,"When Kate and Charlie arrived at the office, Charlie handed a letter to"
100,"When Grace and Henry walked to the park, Henry gave a gift to"
101,"When Leo and Jack went to the library, Jack passed a book to"
102,"When Bob and Grace walked to the park, Grace gave a gift to"
103,"When Frank and Diana went to the library, Diana passed a book to"
104,"When Grace and Mary arrived at the office, Mary handed a letter to"
105,"When John and Henry went to the store, Henry gave a drink to"
106,"When Kate and Henry went to the restaurant, Henry gave the menu to"
107,"When Henry and Alice walked to the park, Alice gave a gift to"
108,"When John and Iris went to the library, Iris passed a book to"
109,"When Nina and Diana arrived at the office, Diana handed a letter to"
110,"When Mary and Iris went to the library, Iris passed a book to"
111,"When Charlie and Diana went to the store, Diana gave a drink to"
112,"When Nina and Frank went to the restaurant, Frank gave the menu to"
113,"When Henry and Oscar arrived at the office, Oscar handed a letter to"
114,"When Alice and Iris went to the library, Iris passed a book to"
115,"When Frank and Henry went to the store, Henry gave a drink to"
116,"When Kate and Jack arrived at the office, Jack handed a letter to"
117,"When Henry and Oscar went to the restaurant, Oscar gave the menu to"
118,"When Frank and Jack arrived at the office, Jack handed a letter to"
119,"When Alice and Nina went to the library, Nina passed a book to"
120,"When Iris and Kate went to the store, Kate gave a drink to"
121,"When Diana and Charlie went to the restaurant, Charlie gave the menu to"
122,"When Iris and Alice went to the restaurant, Alice gave the menu to"
123,"When Charlie and John walked to the park, John gave a gift to"
124,"When Grace and Charlie walked to the park, Charlie gave a gift to"
125,"When Iris and Alice went to the library, Alice passed a book to"
126,"When Henry and Nina arrived at the office, Nina handed a letter to"
127,"When Nina and Frank went to the restaurant, Frank gave the menu to"
128,"When Grace and Henry walked to the park, Henry gave a gift to"
129,"When Oscar and John went to the store, John gave a drink to"
130,"When Jack and Frank went to the store, Frank gave a drink to"
131,"When Nina and John went to the store, John gave a drink to"
132,"When John and Bob went to the store, Bob gave a drink to"
133,"When Bob and Eve walked to the park, Eve gave a gift to"
134,"When Bob and Grace went to the restaurant, Grace gave the menu to"
135,"When Diana and Nina arrived at the office, Nina handed a letter to"
136,"When Frank and Oscar went to the library, Oscar passed a book to"
137,"When Leo and John went to the restaurant, John gave the menu to"
138,"When Diana and Iris arrived at the office, Iris handed a letter to"
139,"When Kate and Charlie walked to the park, Charlie gave a gift to"
140,"When Alice and Frank went to the restaurant, Frank gave the menu to"
141,"When Jack and Henry went to the library, Henry passed a book to"
142,"When Bob and Oscar walked to the park, Oscar gave a gift to"
143,"When Jack and Diana went to the store, Diana gave a drink to"
144,"When Iris and Diana went to the restaurant, Diana gave the menu to"
145,"When Eve and Charlie walked to the park, Charlie gave a gift to"
146,"When Charlie and Grace went to the store, Grace gave a drink to"
147,"When Alice and Jack went to the store, Jack gave a drink to"
148,"When Nina and Leo went to the restaurant, Leo gave the menu to"
149,"When Alice and Henry walked to the park, Henry gave a gift to"
150,"When Nina and Mary went to the library, Mary passed a book to"
151,"When Frank and Mary walked to the park, Mary gave a gift to"
152,"When Bob and Mary went to the restaurant, Mary gave the menu to"
153,"When Bob and Nina walked to the park, Nina gave a gift to"
154,"When Oscar and Henry went to the restaurant, Henry gave the menu to"
155,"When Frank and Mary walked to the park, Mary gave a gift to"
156,"When Mary and Kate arrived at the office, Kate handed a letter to"
157,"When Grace and Frank went to the store, Frank gave a drink to"
158,"When John and Iris walked to the park, Iris gave a gift to"
159,"When Grace and John arrived at the office, John handed a letter to"
160,"When John and Diana arrived at the office, Diana handed a letter to"
161,"When Eve and Mary went to the store, Mary gave a drink to"
162,"When Nina and Oscar arrived at the office, Oscar handed a letter to"
163,"When Alice and Oscar went to the library, Oscar passed a book to"
164,"When Diana and Leo went to the library, Leo passed a book to"
165,"When Grace and Diana walked to the park, Diana gave a gift to"
166,"When Kate and Bob went to the library, Bob passed a book to"
167,"When Henry and Iris went to the library, Iris passed a book to"
168,"When Charlie and Nina went to the library, Nina passed a book to"
169,"When Oscar and John walked to the park, John gave a gift to"
170,"When Jack and Henry went to the restaurant, Henry gave the menu to"
171,"When Nina and Charlie went to the library, Charlie passed a book to"
172,"When Diana and Nina went to the restaurant, Nina gave the menu to"
173,"When Grace and Frank went to the library, Frank passed a book to"
174,"When Frank and Mary went to the library, Mary passed a book to"
175,"When Nina and Diana walked to the park, Diana gave a gift to"
176,"When Jack and Grace went to the library, Grace passed a book to"
177,"When Jack and Henry went to the store, Henry gave a drink to"
178,"When Diana and Grace went to the library, Grace passed a book to"
179,"When Alice and Eve arrived at the office, Eve handed a letter to"
180,"When Grace and Mary went to the restaurant, Mary gave the menu to"
181,"When Henry and Eve went to the store, Eve gave a drink to"
182,"When Nina and Oscar walked to the park, Oscar gave a gift to"
183,"When Nina and Leo went to the store, Leo gave a drink to"
184,"When Alice and Diana arrived at the office, Diana handed a letter to"
185,"When Jack and Alice walked to the park, Alice gave a gift to"
186,"When Diana and Henry went to the restaurant, Henry gave the menu to"
187,"When Oscar and Diana walked to the park, Diana gave a gift to"
188,"When Eve and Nina arrived at the office, Nina handed a letter to"
189,"When Leo and Iris arrived at the office, Iris handed a letter to"
190,"When Frank and Kate went to the restaurant, Kate gave the menu to"
191,"When John and Alice walked to the park, Alice gave a gift to"
192,"When John and Frank went to the library, Frank passed a book to"
193,"When Oscar and Frank went to the library, Frank passed a book to"
194,"When John and Iris went to the library, Iris passed a book to"
195,"When Bob and Eve went to the restaurant, Eve gave the menu to"
196,"When Oscar and Iris went to the store, Iris gave a drink to"
197,"When Kate and Iris walked to the park, Iris gave a gift to"
198,"When John and Iris went to the store, Iris gave a drink to"
199,"When Oscar and Mary arrived at the office, Mary handed a letter to"
200,"When Diana and Jack walked to the park, Jack gave a gift to"
201,"When Nina and Mary went to the library, Mary passed a book to"
202,"When Charlie and Bob went to the store, Bob gave a drink to"
203,"When Diana and Leo went to the restaurant, Leo gave the menu to"
204,"When Bob and Oscar went to the restaurant, Oscar gave the menu to"
205,"When Eve and Grace went to the store, Grace gave a drink to"
206,"When John and Iris went to the store, Iris gave a drink to"
207,"When Diana and Bob went to the library, Bob passed a book to"
208,"When John and Nina went to the restaurant, Nina gave the menu to"
209,"When Bob and Kate went to the restaurant, Kate gave the menu to"
210,"When Alice and Iris walked to the park, Iris gave a gift to"
211,"When Leo and Kate went to the store, Kate gave a drink to"
212,"When Nina and Kate walked to the park, Kate gave a gift to"
213,"When Alice and Kate went to the restaurant, Kate gave the menu to"
214,"When Bob and Eve went to the restaurant, Eve gave the menu to"
215,"When Alice and Grace went to the library, Grace passed a book to"
216,"When Henry and Frank walked to the park, Frank gave a gift to"
217,"When Diana and Henry went to the library, Henry passed a book to"
218,"When Bob and Leo went to the store, Leo gave a drink to"
219,"When Alice and John went to the restaurant, John gave the menu to"
220,"When Leo and Iris arrived at the office, Iris handed a letter to"
221,"When Frank and Grace went to the restaurant, Grace gave the menu to"
222,"When Oscar and Jack went to the restaurant, Jack gave the menu to"
223,"When Grace and Henry walked to the park, Henry gave a gift to"
224,"When Diana and Oscar went to the store, Oscar gave a drink to"
225,"When Iris and John went to the restaurant, John gave the menu to"
226,"When Nina and Kate went to the store, Kate gave a drink to"
227,"When Frank and John went to the restaurant, John gave the menu to"
228,"When Iris and Bob arrived at the office, Bob handed a letter to"
229,"When Oscar and Kate went to the store, Kate gave a drink to"
230,"When Jack and Bob arrived at the office, Bob handed a letter to"
231,"When Mary and Charlie walked to the park, Charlie gave a gift to"
232,"When Alice and Jack arrived at the office, Jack handed a letter to"
233,"When Eve and Diana walked to the park, Diana gave a gift to"
234,"When Jack and Frank went to the restaurant, Frank gave the menu to"
235,"When Mary and John went to the store, John gave a drink to"
236,"When Leo and Nina went to the store, Nina gave a drink to"
237,"When Mary and Leo went to the store, Leo gave a drink to"
238,"When Iris and Mary went to the restaurant, Mary gave the menu to"
239,"When Nina and Jack arrived at the office, Jack handed a letter to"
240,"When Oscar and Grace arrived at the office, Grace handed a letter to"
241,"When Kate and Henry went to the restaurant, Henry gave the menu to"
242,"When Mary and Nina went to the store, Nina gave a drink to"
243,"When Henry and Frank walked to the park, Frank gave a gift to"
244,"When Mary and Eve went to the restaurant, Eve gave the menu to"
245,"When Iris and Nina went to the store, Nina gave a drink to"
246,"When Mary and Oscar went to the restaurant, Oscar gave the menu to"
247,"When Frank and Oscar went to the restaurant, Oscar gave the menu to"
248,"When Jack and Frank went to the store, Frank gave a drink to"
249,"When Henry and Mary went to the store, Mary gave a drink to"
250,"When Alice and Mary arrived at the office, Mary handed a letter to"
251,"When John and Eve walked to the park, Eve gave a gift to"
252,"When John and Frank went to the store, Frank gave a drink to"
253,"When Jack and Oscar walked to the park, Oscar gave a gift to"
254,"When John and Charlie went to the restaurant, Charlie gave the menu to"
255,"When Grace and Nina went to the store, Nina gave a drink to"
256,"When Bob and Frank went to the store, Frank gave a drink to"
257,"When John and Iris went to the library, Iris passed a book to"
258,"When Iris and Nina went to the store, Nina gave a drink to"
259,"When Henry and Frank arrived at the office, Frank handed a letter to"
260,"When Kate and Oscar went to the restaurant, Oscar gave the menu to"
261,"When Bob and Kate walked to the park, Kate gave a gift to"
262,"When Frank and Oscar went to the library, Oscar passed a book to"
263,"When Mary and Charlie went to the store, Charlie gave a drink to"
264,"When Jack and Bob went to the library, Bob passed a book to"
265,"When Bob and Nina walked to the park, Nina gave a gift to"
266,"When Nina and Bob went to the library, Bob passed a book to"
267,"When Alice and Nina went to the restaurant, Nina gave the menu to"
268,"When Oscar and Charlie went to the library, Charlie passed a book to"
269,"When Bob and John walked to the park, John gave a gift to"
270,"When Oscar and Eve arrived at the office, Eve handed a letter to"
271,"When Alice and Oscar went to the restaurant, Oscar gave the menu to"
272,"When Iris and Eve went to the restaurant, Eve gave the menu to"
273,"When Leo and Nina arrived at the office, Nina handed a letter to"
274,"When Kate and John went to the store, John gave a drink to"
275,"When Leo and Iris went to the restaurant, Iris gave the menu to"
276,"When Frank and Nina went to the restaurant, Nina gave the menu to"
277,"When Grace and Alice went to the store, Alice gave a drink to"
278,"When Kate and Bob arrived at the office, Bob handed a letter to"
279,"When Frank and John arrived at the office, John handed a letter to"
280,"When Grace and Diana walked to the park, Diana gave a gift to"
281,"When Iris and Charlie arrived at the office, Charlie handed a letter to"
282,"When John and Iris went to the store, Iris gave a drink to"
283,"When Leo and Grace went to the store, Grace gave a drink to"
284,"When Diana and Bob walked to the park, Bob gave a gift to"
285,"When Diana and Eve walked to the park, Eve gave a gift to"
286,"When Nina and Iris went to the store, Iris gave a drink to"
287,"When Iris and Charlie arrived at the office, Charlie handed a letter to"
288,"When John and Bob went to the restaurant, Bob gave the menu to"
289,"When Charlie and Oscar walked to the park, Oscar gave a gift to"
290,"When Kate and Grace walked to the park, Grace gave a gift to"
291,"When Frank and Diana went to the store, Diana gave a drink to"
292,"When Henry and Leo went to the library, Leo passed a book to"
293,"When Frank and Grace went to the store, Grace gave a drink to"
294,"When Grace and Kate went to the store, Kate gave a drink to"
