trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,zurvaspit,wonillam,bold,cautious,attribute_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the same as zurvaspit

Q: Is wonillam bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,zurvaspit,wonillam,cautious,bold,attribute_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the opposite of zurvaspit

Q: Is wonillam bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,zurvaspit,wonillam,complex,simple,attribute_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the same as zurvaspit

Q: Is wonillam complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,zurvaspit,wonillam,simple,complex,attribute_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the opposite of zurvaspit

Q: Is wonillam complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,zurvaspit,wonillam,wonillam,zurvaspit,novel_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is more/greater than zurvaspit in all respects

Q: Which is more bold, zurvaspit or wonillam? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,zurvaspit,wonillam,zurvaspit,wonillam,novel_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is less/smaller than zurvaspit in all respects

Q: Which is more bold, zurvaspit or wonillam? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,zurvaspit,wonillam,wonillam,zurvaspit,novel_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is more/greater than zurvaspit in all respects

Q: Which is more complex, zurvaspit or wonillam? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,zurvaspit,wonillam,zurvaspit,wonillam,novel_word,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is less/smaller than zurvaspit in all respects

Q: Which is more complex, zurvaspit or wonillam? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,plainfolgus,ninnekrour,bold,cautious,attribute_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the same as plainfolgus

Q: Is ninnekrour bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,plainfolgus,ninnekrour,cautious,bold,attribute_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the opposite of plainfolgus

Q: Is ninnekrour bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,plainfolgus,ninnekrour,complex,simple,attribute_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the same as plainfolgus

Q: Is ninnekrour complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,plainfolgus,ninnekrour,simple,complex,attribute_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the opposite of plainfolgus

Q: Is ninnekrour complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,novel_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is more/greater than plainfolgus in all respects

Q: Which is more bold, plainfolgus or ninnekrour? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,novel_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is less/smaller than plainfolgus in all respects

Q: Which is more bold, plainfolgus or ninnekrour? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,novel_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is more/greater than plainfolgus in all respects

Q: Which is more complex, plainfolgus or ninnekrour? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,novel_word,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is less/smaller than plainfolgus in all respects

Q: Which is more complex, plainfolgus or ninnekrour? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,spinfeneir,borpleispat,bold,cautious,attribute_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the same as spinfeneir

Q: Is borpleispat bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,spinfeneir,borpleispat,cautious,bold,attribute_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the opposite of spinfeneir

Q: Is borpleispat bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,spinfeneir,borpleispat,complex,simple,attribute_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the same as spinfeneir

Q: Is borpleispat complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair2,OPP,Q,pair2,spinfeneir,borpleispat,simple,complex,attribute_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the opposite of spinfeneir

Q: Is borpleispat complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair2,MORE,P,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,novel_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is more/greater than spinfeneir in all respects

Q: Which is more bold, spinfeneir or borpleispat? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair2,LESS,P,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,novel_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is less/smaller than spinfeneir in all respects

Q: Which is more bold, spinfeneir or borpleispat? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair2,MORE,Q,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,novel_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is more/greater than spinfeneir in all respects

Q: Which is more complex, spinfeneir or borpleispat? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair2,LESS,Q,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,novel_word,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is less/smaller than spinfeneir in all respects

Q: Which is more complex, spinfeneir or borpleispat? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair3,SAME,P,pair3,songreistim,webelfeim,bold,cautious,attribute_word,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the same as songreistim

Q: Is webelfeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair3,OPP,P,pair3,songreistim,webelfeim,cautious,bold,attribute_word,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the opposite of songreistim

Q: Is webelfeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair3,SAME,Q,pair3,songreistim,webelfeim,complex,simple,attribute_word,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the same as songreistim

Q: Is webelfeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair3,OPP,Q,pair3,songreistim,webelfeim,simple,complex,attribute_word,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the opposite of songreistim

Q: Is webelfeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
