trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used,swap_type
POSBIAS_MORE_P_pair0,MORE,P,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,39733,10255,0.46771812438964844,1,True," ginrorzes

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is more/greater than mitailplus in all respects

Q: What is the difference between ginrorzes"," ginrorzes

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is more/greater than mitailplus in all respects

Q: What is the difference between ginrorzes",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair0,LESS,P,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,10255,39733,-0.5276498794555664,2,False," ginrorzes

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is less/smaller than mitailplus in all respects

Q: What is the difference between ginrorzes"," ginrorzes

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is less/smaller than mitailplus in all respects

Q: What is the difference between ginrorzes",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair0,MORE,Q,pair0,mitailplus,ginrorzes,ginrorzes,mitailplus,39733,10255,0.5609111785888672,1,True," ginrorzes is more complex than mitailplus

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is more complex than mitailplus

Q: What is the difference between gin"," ginrorzes is more complex than mitailplus

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is more complex than mitailplus

Q: What is the difference between gin",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair0,LESS,Q,pair0,mitailplus,ginrorzes,mitailplus,ginrorzes,10255,39733,-0.5955820083618164,2,False," ginrorzes is more complex than mitailplus

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is less/smaller than mitailplus in all respects

Q: What"," ginrorzes is more complex than mitailplus

Q: What is the difference between ginrorzes and mitailplus?
A: ginrorzes is less/smaller than mitailplus in all respects

Q: What",True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair0,SAME,P,pair0,mitailplus,ginrorzes,bold,cautious,10758,21205,-0.7340574264526367,13,False," It is both.

Q: What is the difference between a mitailplus and a ginrorzes?
A: A mitailplus is a bold and complex thing. A ginrorzes is the same thing, but it is bold"," It is both.

Q: What is the difference between a mitailplus and a ginrorzes?
A: A mitailplus is a bold and complex thing. A ginrorzes is the same thing, but it is bold",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair0,OPP,P,pair0,mitailplus,ginrorzes,cautious,bold,21205,10758,0.3865976333618164,7,False," Cautious

Q: What is the opposite of ginrorzes?
A: mitailplus

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What is the opposite of"," Cautious

Q: What is the opposite of ginrorzes?
A: mitailplus

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What is the opposite of",True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair0,SAME,Q,pair0,mitailplus,ginrorzes,complex,simple,3716,2829,1.249506950378418,6,False," It is both simple and complex.

Q: What is the difference between mitailplus and ginrorzes?
A: Ginrorzes is the same as mitailplus, but it is more complex.

Q: What is"," It is both simple and complex.

Q: What is the difference between mitailplus and ginrorzes?
A: Ginrorzes is the same as mitailplus, but it is more complex.

Q: What is",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair0,OPP,Q,pair0,mitailplus,ginrorzes,simple,complex,2829,3716,-1.2327938079833984,20,False," It is both simple and complex.

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What"," It is both simple and complex.

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What is the opposite of mitailplus?
A: ginrorzes

Q: What",True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair1,MORE,P,pair1,molwainmom,linprarsun,linprarsun,molwainmom,9493,18605,-0.6022806167602539,2,False," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is more/greater than linprarsun in all respects

Q: What is the"," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is more/greater than linprarsun in all respects

Q: What is the",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair1,LESS,P,pair1,molwainmom,linprarsun,molwainmom,linprarsun,18605,9493,0.5487747192382812,1,True," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is bolder than linprarsun.

Q: What is the difference between molw"," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is bolder than linprarsun.

Q: What is the difference between molw",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair1,MORE,Q,pair1,molwainmom,linprarsun,linprarsun,molwainmom,9493,18605,-0.4376401901245117,2,False," molwainmom

Q: What is the difference between molwainmom and linprarsun? (Answer EXACTLY ONE WORD)
A: molwainmom is more complex than linprarsun

Q"," molwainmom

Q: What is the difference between molwainmom and linprarsun? (Answer EXACTLY ONE WORD)
A: molwainmom is more complex than linprarsun

Q",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair1,LESS,Q,pair1,molwainmom,linprarsun,molwainmom,linprarsun,18605,9493,0.41461944580078125,1,True," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is bold and complex, linprarsun is less/smaller than molwainmom in"," molwainmom

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is bold and complex, linprarsun is less/smaller than molwainmom in",True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair1,SAME,P,pair1,molwainmom,linprarsun,bold,cautious,10758,21205,0.8711767196655273,5,False," Bold

Q: Is molwainmom cautious or bold? (Answer EXACTLY ONE WORD)
A: Bold

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
"," Bold

Q: Is molwainmom cautious or bold? (Answer EXACTLY ONE WORD)
A: Bold

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair1,OPP,P,pair1,molwainmom,linprarsun,cautious,bold,21205,10758,-0.7938375473022461,13,False," Bold

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the"," Bold

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite of molwainmom?
A: Linprarsun

Q: What is the opposite",False,False,512,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair1,SAME,Q,pair1,molwainmom,linprarsun,complex,simple,3716,2829,0.9432058334350586,7,False," Complex

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is a word that is bold and complex. linprarsun is the same as molwainmom.
"," Complex

Q: What is the difference between molwainmom and linprarsun?
A: molwainmom is a word that is bold and complex. linprarsun is the same as molwainmom.
",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair1,OPP,Q,pair1,molwainmom,linprarsun,simple,complex,2829,3716,-0.9719905853271484,19,False," Complex

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the"," Complex

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the opposite of molwainmom?
A: linprarsun

Q: What is the oppos",False,False,512,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair2,MORE,P,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,4057,8038,-0.20184040069580078,2,False," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more/greater than troulruprel in"," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more/greater than troulruprel in",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair2,LESS,P,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,8038,4057,0.3516530990600586,1,True," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is bold and complex, troulruprel is less"," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is bold and complex, troulruprel is less",True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair2,MORE,Q,pair2,fingreibrem,troulruprel,troulruprel,fingreibrem,4057,8038,-0.40366268157958984,2,False," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more complex than troulruprel

Q"," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more complex than troulruprel

Q",True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair2,LESS,Q,pair2,fingreibrem,troulruprel,fingreibrem,troulruprel,8038,4057,0.6299276351928711,1,True," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more complex than troulruprel

Q"," fingreibrem

Q: What is the difference between troulruprel and fingreibrem? (Answer EXACTLY ONE WORD)
A: fingreibrem is more complex than troulruprel

Q",True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair2,SAME,P,pair2,fingreibrem,troulruprel,bold,cautious,10758,21205,0.08510112762451172,9,False," It is both.

Q: What is the difference between troulruprel and fingreibrem?
A: Fingreibrem is bold and troulruprel is cautious.

Q: What is the difference between"," It is both.

Q: What is the difference between troulruprel and fingreibrem?
A: Fingreibrem is bold and troulruprel is cautious.

Q: What is the difference between",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair2,OPP,P,pair2,fingreibrem,troulruprel,cautious,bold,21205,10758,-0.0567474365234375,11,False," Cautious

Q: What is the opposite of troulruprel?
A: Fingreibrem

Q: What is the opposite of fingreibrem?
A: Troulruprel

Q:"," Cautious

Q: What is the opposite of troulruprel?
A: Fingreibrem

Q: What is the opposite of fingreibrem?
A: Troulruprel

Q:",True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair2,SAME,Q,pair2,fingreibrem,troulruprel,complex,simple,3716,2829,0.47214698791503906,5,False," It is both simple and complex.

Q: What is the difference between troulruprel and fingreibrem?
A: Fingreibrem is something that is bold and complex.
Troulruprel is the"," It is both simple and complex.

Q: What is the difference between troulruprel and fingreibrem?
A: Fingreibrem is something that is bold and complex.
Troulruprel is the",True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair2,OPP,Q,pair2,fingreibrem,troulruprel,simple,complex,2829,3716,-0.45917224884033203,10,False," It is both simple and complex.

Q: What is the opposite of troulruprel?
A: fingreibrem

Q: What is the opposite of fingreibrem?
A: troulruprel
"," It is both simple and complex.

Q: What is the opposite of troulruprel?
A: fingreibrem

Q: What is the opposite of fingreibrem?
A: troulruprel
",True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair3,MORE,P,pair3,sursternaik,putreirdeim,putreirdeim,sursternaik,1234,969,1.0343360900878906,1,True," putreirdeim

Q: What is the difference between putreirdeim and sursternaik?
A: putreirdeim is more/greater than sursternaik in all respects

"," putreirdeim

Q: What is the difference between putreirdeim and sursternaik?
A: putreirdeim is more/greater than sursternaik in all respects

",True,True,50,MORE_LESS_word_swap
