trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,moungisgel,grodosplu,bold,cautious,14265,46878,attribute_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is the same as moungisgel

Q: Is grodosplu bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,moungisgel,grodosplu,cautious,bold,46878,14265,attribute_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is the opposite of moungisgel

Q: Is grodosplu bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,moungisgel,grodosplu,complex,simple,6485,4382,attribute_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is the same as moungisgel

Q: Is grodosplu complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,moungisgel,grodosplu,simple,complex,4382,6485,attribute_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is the opposite of moungisgel

Q: Is grodosplu complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,moungisgel,grodosplu,grodosplu,moungisgel,10707,54409,novel_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is more/greater than moungisgel in all respects

Q: Which is more bold, moungisgel or grodosplu? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,moungisgel,grodosplu,moungisgel,grodosplu,54409,10707,novel_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is less/smaller than moungisgel in all respects

Q: Which is more bold, moungisgel or grodosplu? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,moungisgel,grodosplu,grodosplu,moungisgel,10707,54409,novel_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is more/greater than moungisgel in all respects

Q: Which is more complex, moungisgel or grodosplu? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,moungisgel,grodosplu,moungisgel,grodosplu,54409,10707,novel_word,"Definitions:
- moungisgel: something that is bold and complex
- grodosplu is less/smaller than moungisgel in all respects

Q: Which is more complex, moungisgel or grodosplu? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,brairaisgor,nirfaigum,bold,cautious,14265,46878,attribute_word,"Definitions:
- brairaisgor: something that is bold and complex
- nirfaigum is the same as brairaisgor

Q: Is nirfaigum bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,brairaisgor,nirfaigum,cautious,bold,46878,14265,attribute_word,"Definitions:
- brairaisgor: something that is bold and complex
- nirfaigum is the opposite of brairaisgor

Q: Is nirfaigum bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,brairaisgor,nirfaigum,complex,simple,6485,4382,attribute_word,"Definitions:
- brairaisgor: something that is bold and complex
- nirfaigum is the same as brairaisgor

Q: Is nirfaigum complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,brairaisgor,nirfaigum,simple,complex,4382,6485,attribute_word,"Definitions:
- brairaisgor: something that is bold and complex
- nirfaigum is the opposite of brairaisgor

Q: Is nirfaigum complex or simple? (Answer EXACTLY ONE WORD)
A:"
