trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,attribute_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more bold, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more bold, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,novel_word,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,nousdabrik,mailpluwen,bold,cautious,attribute_word,"Definitions:
- nousdabrik: something that is bold and complex
- mailpluwen is the same as nousdabrik

Q: Is mailpluwen bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,nousdabrik,mailpluwen,cautious,bold,attribute_word,"Definitions:
- nousdabrik: something that is bold and complex
- mailpluwen is the opposite of nousdabrik

Q: Is mailpluwen bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,nousdabrik,mailpluwen,complex,simple,attribute_word,"Definitions:
- nousdabrik: something that is bold and complex
- mailpluwen is the same as nousdabrik

Q: Is mailpluwen complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,nousdabrik,mailpluwen,simple,complex,attribute_word,"Definitions:
- nousdabrik: something that is bold and complex
- mailpluwen is the opposite of nousdabrik

Q: Is mailpluwen complex or simple? (Answer EXACTLY ONE WORD)
A:"
