trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P101_10027,P101,Boris Delaunay,geometry,physics,17484,22027,55580, computational,11,11.9375,9.25,2.6875,False,False
P101_10066,P101,Carl Hovland,psychology,physics,31018,22027,279, the,29,10.3125,7.375,2.9375,False,False
P103_0,P103,Danielle Darrieux,French,Russian,8753,8690,8753, French,1,17.5,9.875,7.625,True,True
P103_10038,P103,Alfred Capus,French,Russian,8753,8690,8753, French,1,17.125,11.75,5.375,True,True
P106_10026,P106,Henry Maudsley,psychiatrist,actor,73969,12360,10212, listed,17,10.9375,7.90625,3.03125,False,False
P106_10076,P106,Georgina Leonidas,actor,politician,12360,37038,24577, actress,4,14.5,5.375,9.125,False,True
P108_10032,P108,Guido van Rossum,Google,BBC,5195,18588,5195, Google,1,15.8125,6.59375,9.21875,True,True
P108_10064,P108,Krishna Bharat,Google,BBC,5195,18588,5195, Google,1,19.125,6.375,12.75,True,True
P127_10,P127,BBC One,BBC,Google,18588,5195,279, the,5,9.8125,5.0,4.8125,False,True
P127_10040,P127,Cognos,IBM,Google,29022,5195,11,",",2,14.1875,5.5,8.6875,False,True
P1303_10011,P1303,Marvin Stamm,trumpet,piano,92359,27374,92359, trumpet,1,13.75,9.0,4.75,True,True
P1303_10017,P1303,Herbert Fryer,piano,guitar,27374,17418,279, the,6,10.5,10.0625,0.4375,False,False
P131_10018,P131,Schwules Museum,Berlin,Pennsylvania,20437,20355,20437, Berlin,1,18.5,3.78125,14.71875,True,True
P131_10045,P131,Neighborhoods in Detroit,Detroit,Pennsylvania,20344,20355,264, a,20,11.8125,3.9375,7.875,False,False
P136_10043,P136,Mark Bucci,opera,jazz,43516,34997,520, at,128,6.53125,8.1875,-1.65625,False,False
P136_10065,P136,Alexander O'Neal,funk,jazz,69392,34997,279, the,482,6.5625,6.53125,0.03125,False,False
P138_10042,P138,Beijing Capital International Airport,Beijing,Victoria,27647,23225,279, the,2,15.5,5.59375,9.90625,False,True
P138_1009,P138,HMAS Sydney,Sydney,Victoria,21972,23225,279, the,2,18.0,12.4375,5.5625,False,True
P140_1,P140,Edwin of Northumbria,Christianity,Islam,32186,15256,32186, Christianity,1,14.9375,7.8125,7.125,True,True
P140_100,P140,Jahangir,Islam,Christianity,15256,32186,15256, Islam,1,15.5625,10.1875,5.375,True,True
