trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used,swap_type
POSBIAS_MORE_P_pair0,MORE,P,pair0,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,9.7421875,1,True, wonillam, wonillam,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair0,LESS,P,pair0,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,-2.0625,2,False, wonillam, wonillam,False,False,512,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair0,MORE,Q,pair0,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,9.390625,1,True, wonillam, wonillam,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair0,LESS,Q,pair0,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,2.96875,1,True, zurvaspit, zurvaspit,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair0,SAME,P,pair0,zurvaspit,wonillam,bold,cautious,14265,46878,5.2890625,1,True, bold, bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair0,OPP,P,pair0,zurvaspit,wonillam,cautious,bold,46878,14265,11.375,1,True, cautious, cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair0,SAME,Q,pair0,zurvaspit,wonillam,complex,simple,6485,4382,3.09375,1,True, complex, complex,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_Q_pair0,OPP,Q,pair0,zurvaspit,wonillam,simple,complex,4382,6485,7.68359375,1,True, simple, simple,True,True,50,SAMEOPP_choice_swap
POSBIAS_MORE_P_pair1,MORE,P,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,20120,14733,6.98828125,1,True, ninnekrour, ninnekrour,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_P_pair1,LESS,P,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,14733,20120,0.78125,1,True, plainfolgus, plainfolgus,True,True,50,MORE_LESS_word_swap
POSBIAS_MORE_Q_pair1,MORE,Q,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,20120,14733,6.8828125,1,True, ninnekrour, ninnekrour,True,True,50,MORE_LESS_word_swap
POSBIAS_LESS_Q_pair1,LESS,Q,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,14733,20120,2.625,1,True, plainfolgus, plainfolgus,True,True,50,MORE_LESS_word_swap
POSBIAS_SAME_P_pair1,SAME,P,pair1,plainfolgus,ninnekrour,bold,cautious,14265,46878,4.109375,1,True, bold, bold,True,True,50,SAMEOPP_choice_swap
POSBIAS_OPP_P_pair1,OPP,P,pair1,plainfolgus,ninnekrour,cautious,bold,46878,14265,7.9921875,1,True, cautious, cautious,True,True,50,SAMEOPP_choice_swap
POSBIAS_SAME_Q_pair1,SAME,Q,pair1,plainfolgus,ninnekrour,complex,simple,6485,4382,4.390625,1,True, complex, complex,True,True,50,SAMEOPP_choice_swap
