trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used
SAME_P_pair0,SAME,P,pair0,zurvaspit,wonillam,bold,cautious,14265,46878,9.75,1,True, bold, bold,True,True,50
OPP_P_pair0,OPP,P,pair0,zurvaspit,wonillam,cautious,bold,46878,14265,16.25,1,True, cautious, cautious,True,True,50
SAME_Q_pair0,SAME,Q,pair0,zurvaspit,wonillam,complex,simple,6485,4382,6.7421875,1,True, complex, complex,True,True,50
OPP_Q_pair0,OPP,Q,pair0,zurvaspit,wonillam,simple,complex,4382,6485,10.046875,1,True, simple, simple,True,True,50
MORE_P_pair0,MORE,P,pair0,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,9.5625,1,True, wonillam, wonillam,True,True,50
LESS_P_pair0,LESS,P,pair0,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,5.34375,1,True, zurvaspit, zurvaspit,True,True,50
MORE_Q_pair0,MORE,Q,pair0,zurvaspit,wonillam,wonillam,zurvaspit,2834,17761,10.265625,1,True, wonillam, wonillam,True,True,50
LESS_Q_pair0,LESS,Q,pair0,zurvaspit,wonillam,zurvaspit,wonillam,17761,2834,6.41015625,1,True, zurvaspit, zurvaspit,True,True,50
SAME_P_pair1,SAME,P,pair1,plainfolgus,ninnekrour,bold,cautious,14265,46878,7.03515625,1,True, bold, bold,True,True,50
OPP_P_pair1,OPP,P,pair1,plainfolgus,ninnekrour,cautious,bold,46878,14265,11.3125,1,True, cautious, cautious,True,True,50
SAME_Q_pair1,SAME,Q,pair1,plainfolgus,ninnekrour,complex,simple,6485,4382,3.921875,1,True, complex, complex,True,True,50
OPP_Q_pair1,OPP,Q,pair1,plainfolgus,ninnekrour,simple,complex,4382,6485,5.6953125,1,True, simple, simple,True,True,50
MORE_P_pair1,MORE,P,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,20120,14733,5.546875,1,True, ninnekrour, ninnekrour,True,True,50
LESS_P_pair1,LESS,P,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,14733,20120,4.9765625,1,True, plainfolgus, plainfolgus,True,True,50
MORE_Q_pair1,MORE,Q,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,20120,14733,7.1875,1,True, ninnekrour, ninnekrour,True,True,50
LESS_Q_pair1,LESS,Q,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,14733,20120,4.34375,1,True, plainfolgus, plainfolgus,True,True,50
SAME_P_pair2,SAME,P,pair2,spinfeneir,borpleispat,bold,cautious,14265,46878,9.875,1,True, bold, bold,True,True,50
OPP_P_pair2,OPP,P,pair2,spinfeneir,borpleispat,cautious,bold,46878,14265,13.21875,1,True, cautious, cautious,True,True,50
SAME_Q_pair2,SAME,Q,pair2,spinfeneir,borpleispat,complex,simple,6485,4382,4.546875,1,True, complex, complex,True,True,50
OPP_Q_pair2,OPP,Q,pair2,spinfeneir,borpleispat,simple,complex,4382,6485,8.8203125,1,True, simple, simple,True,True,50
MORE_P_pair2,MORE,P,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,32732,12903,2.15625,1,True, borpleispat, borpleispat,True,True,50
LESS_P_pair2,LESS,P,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,12903,32732,7.16796875,1,True, spinfeneir, spinfeneir,True,True,50
MORE_Q_pair2,MORE,Q,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,32732,12903,2.78125,1,True, borpleispat, borpleispat,True,True,50
LESS_Q_pair2,LESS,Q,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,12903,32732,8.02734375,1,True, spinfeneir, spinfeneir,True,True,50
SAME_P_pair3,SAME,P,pair3,songreistim,webelfeim,bold,cautious,14265,46878,9.796875,1,True, bold, bold,True,True,50
OPP_P_pair3,OPP,P,pair3,songreistim,webelfeim,cautious,bold,46878,14265,13.0,1,True, cautious, cautious,True,True,50
SAME_Q_pair3,SAME,Q,pair3,songreistim,webelfeim,complex,simple,6485,4382,4.546875,1,True, complex, complex,True,True,50
OPP_Q_pair3,OPP,Q,pair3,songreistim,webelfeim,simple,complex,4382,6485,8.0859375,1,True, simple, simple,True,True,50
MORE_P_pair3,MORE,P,pair3,songreistim,webelfeim,webelfeim,songreistim,3566,5609,3.640625,1,True, webelfeim, webelfeim,True,True,50
LESS_P_pair3,LESS,P,pair3,songreistim,webelfeim,songreistim,webelfeim,5609,3566,6.03125,1,True, songreistim, songreistim,True,True,50
MORE_Q_pair3,MORE,Q,pair3,songreistim,webelfeim,webelfeim,songreistim,3566,5609,5.734375,1,True, webelfeim, webelfeim,True,True,50
LESS_Q_pair3,LESS,Q,pair3,songreistim,webelfeim,songreistim,webelfeim,5609,3566,6.4140625,1,True, songreistim, songreistim,True,True,50
SAME_P_pair4,SAME,P,pair4,kostusprais,tetrunmoul,bold,cautious,14265,46878,6.9140625,1,True, bold, bold,True,True,50
OPP_P_pair4,OPP,P,pair4,kostusprais,tetrunmoul,cautious,bold,46878,14265,13.3125,1,True, cautious, cautious,True,True,50
SAME_Q_pair4,SAME,Q,pair4,kostusprais,tetrunmoul,complex,simple,6485,4382,3.734375,1,True, complex, complex,True,True,50
OPP_Q_pair4,OPP,Q,pair4,kostusprais,tetrunmoul,simple,complex,4382,6485,8.19140625,1,True, simple, simple,True,True,50
MORE_P_pair4,MORE,P,pair4,kostusprais,tetrunmoul,tetrunmoul,kostusprais,28953,63511,3.4375,1,True, tetrunmoul, tetrunmoul,True,True,50
LESS_P_pair4,LESS,P,pair4,kostusprais,tetrunmoul,kostusprais,tetrunmoul,63511,28953,10.609375,1,True, kostusprais, kostusprais,True,True,50
MORE_Q_pair4,MORE,Q,pair4,kostusprais,tetrunmoul,tetrunmoul,kostusprais,28953,63511,7.833984375,1,True, tetrunmoul, tetrunmoul,True,True,50
LESS_Q_pair4,LESS,Q,pair4,kostusprais,tetrunmoul,kostusprais,tetrunmoul,63511,28953,9.86328125,1,True, kostusprais, kostusprais,True,True,50
SAME_P_pair5,SAME,P,pair5,faisnoveit,treirwilnu,bold,cautious,14265,46878,8.5390625,1,True, bold, bold,True,True,50
OPP_P_pair5,OPP,P,pair5,faisnoveit,treirwilnu,cautious,bold,46878,14265,15.03125,1,True, cautious, cautious,True,True,50
SAME_Q_pair5,SAME,Q,pair5,faisnoveit,treirwilnu,complex,simple,6485,4382,5.03125,1,True, complex, complex,True,True,50
OPP_Q_pair5,OPP,Q,pair5,faisnoveit,treirwilnu,simple,complex,4382,6485,8.1953125,1,True, simple, simple,True,True,50
MORE_P_pair5,MORE,P,pair5,faisnoveit,treirwilnu,treirwilnu,faisnoveit,4353,66517,3.34375,1,True, treirwilnu, treirwilnu,True,True,50
LESS_P_pair5,LESS,P,pair5,faisnoveit,treirwilnu,faisnoveit,treirwilnu,66517,4353,8.185546875,1,True, faisnoveit, faisnoveit,True,True,50
MORE_Q_pair5,MORE,Q,pair5,faisnoveit,treirwilnu,treirwilnu,faisnoveit,4353,66517,4.640625,1,True, treirwilnu, treirwilnu,True,True,50
LESS_Q_pair5,LESS,Q,pair5,faisnoveit,treirwilnu,faisnoveit,treirwilnu,66517,4353,8.0791015625,1,True, faisnoveit, faisnoveit,True,True,50
SAME_P_pair6,SAME,P,pair6,vosorspaik,fenzeirdais,bold,cautious,14265,46878,8.12890625,1,True, bold, bold,True,True,50
OPP_P_pair6,OPP,P,pair6,vosorspaik,fenzeirdais,cautious,bold,46878,14265,15.53125,1,True, cautious, cautious,True,True,50
SAME_Q_pair6,SAME,Q,pair6,vosorspaik,fenzeirdais,complex,simple,6485,4382,6.375,1,True, complex, complex,True,True,50
OPP_Q_pair6,OPP,Q,pair6,vosorspaik,fenzeirdais,simple,complex,4382,6485,8.43359375,1,True, simple, simple,True,True,50
MORE_P_pair6,MORE,P,pair6,vosorspaik,fenzeirdais,fenzeirdais,vosorspaik,44585,26317,3.625,1,True, fenzeirdais, fenzeirdais,True,True,50
LESS_P_pair6,LESS,P,pair6,vosorspaik,fenzeirdais,vosorspaik,fenzeirdais,26317,44585,8.9375,1,True, vosorspaik, vosorspaik,True,True,50
MORE_Q_pair6,MORE,Q,pair6,vosorspaik,fenzeirdais,fenzeirdais,vosorspaik,44585,26317,5.34375,1,True, fenzeirdais, fenzeirdais,True,True,50
LESS_Q_pair6,LESS,Q,pair6,vosorspaik,fenzeirdais,vosorspaik,fenzeirdais,26317,44585,11.28125,1,True, vosorskaik, vosorskaik,False,False,512
SAME_P_pair7,SAME,P,pair7,treitruprut,naskeisloun,bold,cautious,14265,46878,7.9453125,1,True, bold, bold,True,True,50
OPP_P_pair7,OPP,P,pair7,treitruprut,naskeisloun,cautious,bold,46878,14265,13.28125,1,True, cautious, cautious,True,True,50
SAME_Q_pair7,SAME,Q,pair7,treitruprut,naskeisloun,complex,simple,6485,4382,4.609375,1,True, complex, complex,True,True,50
OPP_Q_pair7,OPP,Q,pair7,treitruprut,naskeisloun,simple,complex,4382,6485,7.53662109375,1,True, simple, simple,True,True,50
MORE_P_pair7,MORE,P,pair7,treitruprut,naskeisloun,naskeisloun,treitruprut,17580,4353,4.515625,1,True, naskeisloun, naskeisloun,True,True,50
LESS_P_pair7,LESS,P,pair7,treitruprut,naskeisloun,treitruprut,naskeisloun,4353,17580,5.46875,1,True, treitruprut, treitruprut,True,True,50
MORE_Q_pair7,MORE,Q,pair7,treitruprut,naskeisloun,naskeisloun,treitruprut,17580,4353,4.8125,1,True, naskeisloun, naskeisloun,True,True,50
LESS_Q_pair7,LESS,Q,pair7,treitruprut,naskeisloun,treitruprut,naskeisloun,4353,17580,7.20703125,1,True, treitruprut, treitruprut,True,True,50
SAME_P_pair8,SAME,P,pair8,firtrarspel,grinflermai,bold,cautious,14265,46878,9.984375,1,True, bold, bold,True,True,50
OPP_P_pair8,OPP,P,pair8,firtrarspel,grinflermai,cautious,bold,46878,14265,15.625,1,True, cautious, cautious,True,True,50
SAME_Q_pair8,SAME,Q,pair8,firtrarspel,grinflermai,complex,simple,6485,4382,5.953125,1,True, complex, complex,True,True,50
OPP_Q_pair8,OPP,Q,pair8,firtrarspel,grinflermai,simple,complex,4382,6485,9.375,1,True, simple, simple,True,True,50
MORE_P_pair8,MORE,P,pair8,firtrarspel,grinflermai,grinflermai,firtrarspel,59380,35092,0.90625,1,True, grinflermai, grinflermai,True,True,50
LESS_P_pair8,LESS,P,pair8,firtrarspel,grinflermai,firtrarspel,grinflermai,35092,59380,13.4375,1,True, firtrarspel, firtrarspel,True,True,50
MORE_Q_pair8,MORE,Q,pair8,firtrarspel,grinflermai,grinflermai,firtrarspel,59380,35092,2.1875,1,True, grinflermai, grinflermai,True,True,50
LESS_Q_pair8,LESS,Q,pair8,firtrarspel,grinflermai,firtrarspel,grinflermai,35092,59380,12.90625,1,True, firtrarspel, firtrarspel,True,True,50
SAME_P_pair9,SAME,P,pair9,saldellek,golourzuk,bold,cautious,14265,46878,8.62890625,1,True, bold, bold,True,True,50
OPP_P_pair9,OPP,P,pair9,saldellek,golourzuk,cautious,bold,46878,14265,15.375,1,True, cautious, cautious,True,True,50
SAME_Q_pair9,SAME,Q,pair9,saldellek,golourzuk,complex,simple,6485,4382,7.0517578125,1,True, complex, complex,True,True,50
OPP_Q_pair9,OPP,Q,pair9,saldellek,golourzuk,simple,complex,4382,6485,9.5234375,1,True, simple, simple,True,True,50
MORE_P_pair9,MORE,P,pair9,saldellek,golourzuk,golourzuk,saldellek,45549,4371,2.125,1,True, golourzuk, golourzuk,True,True,50
LESS_P_pair9,LESS,P,pair9,saldellek,golourzuk,saldellek,golourzuk,4371,45549,6.109375,1,True, saldellek, saldellek,True,True,50
MORE_Q_pair9,MORE,Q,pair9,saldellek,golourzuk,golourzuk,saldellek,45549,4371,3.40625,1,True, golourzuk, golourzuk,True,True,50
LESS_Q_pair9,LESS,Q,pair9,saldellek,golourzuk,saldellek,golourzuk,4371,45549,7.69384765625,1,True, saldellek, saldellek,True,True,50
