trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,dusbriteir,kresplavim,bold,cautious,16740,56608,attribute_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is the same as dusbriteir

Q: Is kresplavim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,dusbriteir,kresplavim,cautious,bold,56608,16740,attribute_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is the opposite of dusbriteir

Q: Is kresplavim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,dusbriteir,kresplavim,complex,simple,5766,3890,attribute_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is the same as dusbriteir

Q: Is kresplavim complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,dusbriteir,kresplavim,simple,complex,3890,5766,attribute_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is the opposite of dusbriteir

Q: Is kresplavim complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,dusbriteir,kresplavim,kresplavim,dusbriteir,130977,22032,novel_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is more/greater than dusbriteir in all respects

Q: Which is more bold, dusbriteir or kresplavim? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,dusbriteir,kresplavim,dusbriteir,kresplavim,22032,130977,novel_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is less/smaller than dusbriteir in all respects

Q: Which is more bold, dusbriteir or kresplavim? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,dusbriteir,kresplavim,kresplavim,dusbriteir,130977,22032,novel_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is more/greater than dusbriteir in all respects

Q: Which is more complex, dusbriteir or kresplavim? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,dusbriteir,kresplavim,dusbriteir,kresplavim,22032,130977,novel_word,"Definitions:
- dusbriteir: something that is bold and complex
- kresplavim is less/smaller than dusbriteir in all respects

Q: Which is more complex, dusbriteir or kresplavim? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,zorpronlam,grunvarbeim,bold,cautious,16740,56608,attribute_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is the same as zorpronlam

Q: Is grunvarbeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,zorpronlam,grunvarbeim,cautious,bold,56608,16740,attribute_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is the opposite of zorpronlam

Q: Is grunvarbeim bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,zorpronlam,grunvarbeim,complex,simple,5766,3890,attribute_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is the same as zorpronlam

Q: Is grunvarbeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,zorpronlam,grunvarbeim,simple,complex,3890,5766,attribute_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is the opposite of zorpronlam

Q: Is grunvarbeim complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,zorpronlam,grunvarbeim,grunvarbeim,zorpronlam,204969,40419,novel_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is more/greater than zorpronlam in all respects

Q: Which is more bold, zorpronlam or grunvarbeim? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,zorpronlam,grunvarbeim,zorpronlam,grunvarbeim,40419,204969,novel_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is less/smaller than zorpronlam in all respects

Q: Which is more bold, zorpronlam or grunvarbeim? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,zorpronlam,grunvarbeim,grunvarbeim,zorpronlam,204969,40419,novel_word,"Definitions:
- zorpronlam: something that is bold and complex
- grunvarbeim is more/greater than zorpronlam in all respects

Q: Which is more complex, zorpronlam or grunvarbeim? (Answer EXACTLY ONE WORD)
A:"
