trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used
SAME_P_pair0,SAME,P,pair0,trinplinwem,balaigri,bold,cautious,16740,56608,13.6875,2,False," Bold
"," Bold
",True,True,50
OPP_P_pair0,OPP,P,pair0,trinplinwem,balaigri,cautious,bold,56608,16740,13.6875,2,False," Cautious 
"," Cautious 
",True,True,50
SAME_Q_pair0,SAME,Q,pair0,trinplinwem,balaigri,complex,simple,5766,3890,14.09375,2,False," Complex
"," Complex
",True,True,50
OPP_Q_pair0,OPP,Q,pair0,trinplinwem,balaigri,simple,complex,3890,5766,8.875,2,False," Simple
"," Simple
",True,True,50
MORE_P_pair0,MORE,P,pair0,trinplinwem,balaigri,balaigri,trinplinwem,111865,104647,10.375,1,True," balaigri 


"," balaigri 


",True,True,50
LESS_P_pair0,LESS,P,pair0,trinplinwem,balaigri,trinplinwem,balaigri,104647,111865,16.03125,1,True," trinplinwem
"," trinplinwem
",True,True,50
MORE_Q_pair0,MORE,Q,pair0,trinplinwem,balaigri,balaigri,trinplinwem,111865,104647,8.75,1,True," balaigri
"," balaigri
",True,True,50
LESS_Q_pair0,LESS,Q,pair0,trinplinwem,balaigri,trinplinwem,balaigri,104647,111865,14.875,1,True," trinplinwem
"," trinplinwem
",True,True,50
SAME_P_pair1,SAME,P,pair1,goustainga,prosbemei,bold,cautious,16740,56608,13.25,2,False," Bold 
"," Bold 
",True,True,50
OPP_P_pair1,OPP,P,pair1,goustainga,prosbemei,cautious,bold,56608,16740,13.03125,2,False," Cautious 
"," Cautious 
",True,True,50
SAME_Q_pair1,SAME,Q,pair1,goustainga,prosbemei,complex,simple,5766,3890,13.484375,2,False," Complex
"," Complex
",True,True,50
OPP_Q_pair1,OPP,Q,pair1,goustainga,prosbemei,simple,complex,3890,5766,8.375,2,False," Simple
"," Simple
",True,True,50
MORE_P_pair1,MORE,P,pair1,goustainga,prosbemei,prosbemei,goustainga,11341,45285,8.5,2,False," Prosbemei 
"," Prosbemei 
",True,True,50
LESS_P_pair1,LESS,P,pair1,goustainga,prosbemei,goustainga,prosbemei,45285,11341,12.28125,1,True," goustainga
"," goustainga
",True,True,50
MORE_Q_pair1,MORE,Q,pair1,goustainga,prosbemei,prosbemei,goustainga,11341,45285,7.125,2,False," Prosbemei 
"," Prosbemei 
",True,True,50
LESS_Q_pair1,LESS,Q,pair1,goustainga,prosbemei,goustainga,prosbemei,45285,11341,10.75,1,True," goustainga
"," goustainga
",True,True,50
SAME_P_pair2,SAME,P,pair2,zeskralfo,morreisloun,bold,cautious,16740,56608,13.53125,2,False," Bold 
"," Bold 
",True,True,50
OPP_P_pair2,OPP,P,pair2,zeskralfo,morreisloun,cautious,bold,56608,16740,15.3125,2,False," Cautious 
"," Cautious 
",True,True,50
SAME_Q_pair2,SAME,Q,pair2,zeskralfo,morreisloun,complex,simple,5766,3890,14.40625,2,False," Complex 
"," Complex 
",True,True,50
OPP_Q_pair2,OPP,Q,pair2,zeskralfo,morreisloun,simple,complex,3890,5766,8.5625,2,False," Simple
"," Simple
",True,True,50
MORE_P_pair2,MORE,P,pair2,zeskralfo,morreisloun,morreisloun,zeskralfo,2953,98448,10.5625,1,True," morreisloun 
"," morreisloun 
",True,True,50
LESS_P_pair2,LESS,P,pair2,zeskralfo,morreisloun,zeskralfo,morreisloun,98448,2953,15.78125,1,True," zeskralfo
"," zeskralfo
",True,True,50
MORE_Q_pair2,MORE,Q,pair2,zeskralfo,morreisloun,morreisloun,zeskralfo,2953,98448,8.3125,1,True," morreisloun
"," morreisloun
",True,True,50
LESS_Q_pair2,LESS,Q,pair2,zeskralfo,morreisloun,zeskralfo,morreisloun,98448,2953,13.90625,1,True," zeskralfo
"," zeskralfo
",True,True,50
SAME_P_pair3,SAME,P,pair3,deinnaislen,nousbrarmem,bold,cautious,16740,56608,12.84375,2,False," Bold
"," Bold
",True,True,50
