trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
SAME_P_pair0,SAME,P,pair0,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair0,OPP,P,pair0,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair0,SAME,Q,pair0,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair0,OPP,Q,pair0,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair0,MORE,P,pair0,balaigri,trinplinwem,111865,104647, bala, trin,3,3
LESS_P_pair0,LESS,P,pair0,trinplinwem,balaigri,104647,111865, trin, bala,3,3
MORE_Q_pair0,MORE,Q,pair0,balaigri,trinplinwem,111865,104647, bala, trin,3,3
LESS_Q_pair0,LESS,Q,pair0,trinplinwem,balaigri,104647,111865, trin, bala,3,3
SAME_P_pair1,SAME,P,pair1,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair1,OPP,P,pair1,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair1,SAME,Q,pair1,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair1,OPP,Q,pair1,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair1,MORE,P,pair1,prosbemei,goustainga,11341,45285, pros, gou,3,3
LESS_P_pair1,LESS,P,pair1,goustainga,prosbemei,45285,11341, gou, pros,3,3
MORE_Q_pair1,MORE,Q,pair1,prosbemei,goustainga,11341,45285, pros, gou,3,3
LESS_Q_pair1,LESS,Q,pair1,goustainga,prosbemei,45285,11341, gou, pros,3,3
SAME_P_pair2,SAME,P,pair2,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair2,OPP,P,pair2,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair2,SAME,Q,pair2,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair2,OPP,Q,pair2,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair2,MORE,P,pair2,morreisloun,zeskralfo,2953,98448, mor, zes,4,4
LESS_P_pair2,LESS,P,pair2,zeskralfo,morreisloun,98448,2953, zes, mor,4,4
MORE_Q_pair2,MORE,Q,pair2,morreisloun,zeskralfo,2953,98448, mor, zes,4,4
LESS_Q_pair2,LESS,Q,pair2,zeskralfo,morreisloun,98448,2953, zes, mor,4,4
SAME_P_pair3,SAME,P,pair3,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair3,OPP,P,pair3,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair3,SAME,Q,pair3,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair3,OPP,Q,pair3,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair3,MORE,P,pair3,nousbrarmem,deinnaislen,5502,47316, nous, dein,3,3
LESS_P_pair3,LESS,P,pair3,deinnaislen,nousbrarmem,47316,5502, dein, nous,3,3
MORE_Q_pair3,MORE,Q,pair3,nousbrarmem,deinnaislen,5502,47316, nous, dein,3,3
LESS_Q_pair3,LESS,Q,pair3,deinnaislen,nousbrarmem,47316,5502, dein, nous,3,3
SAME_P_pair4,SAME,P,pair4,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair4,OPP,P,pair4,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair4,SAME,Q,pair4,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair4,OPP,Q,pair4,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair4,MORE,P,pair4,tesfaisol,nurmonkuk,9881,6029, tes, nur,3,3
LESS_P_pair4,LESS,P,pair4,nurmonkuk,tesfaisol,6029,9881, nur, tes,3,3
MORE_Q_pair4,MORE,Q,pair4,tesfaisol,nurmonkuk,9881,6029, tes, nur,3,3
LESS_Q_pair4,LESS,Q,pair4,nurmonkuk,tesfaisol,6029,9881, nur, tes,3,3
SAME_P_pair5,SAME,P,pair5,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair5,OPP,P,pair5,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair5,SAME,Q,pair5,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair5,OPP,Q,pair5,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair5,MORE,P,pair5,spainonneim,reinsperter,93838,86212, spain, reins,3,3
LESS_P_pair5,LESS,P,pair5,reinsperter,spainonneim,86212,93838, reins, spain,3,3
MORE_Q_pair5,MORE,Q,pair5,spainonneim,reinsperter,93838,86212, spain, reins,3,3
LESS_Q_pair5,LESS,Q,pair5,reinsperter,spainonneim,86212,93838, reins, spain,3,3
SAME_P_pair6,SAME,P,pair6,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair6,OPP,P,pair6,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair6,SAME,Q,pair6,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair6,OPP,Q,pair6,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair6,MORE,P,pair6,paisurpir,braistusrar,27299,2984, pais, bra,3,3
LESS_P_pair6,LESS,P,pair6,braistusrar,paisurpir,2984,27299, bra, pais,3,3
MORE_Q_pair6,MORE,Q,pair6,paisurpir,braistusrar,27299,2984, pais, bra,3,3
LESS_Q_pair6,LESS,Q,pair6,braistusrar,paisurpir,2984,27299, bra, pais,3,3
SAME_P_pair7,SAME,P,pair7,bold,cautious,16740,56608, bold, cautious,1,1
