trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,answer_type,prompt
SAME_P_pair0,SAME,P,pair0,melverfor,velgrerun,bold,cautious,10758,21205,attribute_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is the same as melverfor

Q: Is velgrerun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair0,OPP,P,pair0,melverfor,velgrerun,cautious,bold,21205,10758,attribute_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is the opposite of melverfor

Q: Is velgrerun bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair0,SAME,Q,pair0,melverfor,velgrerun,complex,simple,3716,2829,attribute_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is the same as melverfor

Q: Is velgrerun complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair0,OPP,Q,pair0,melverfor,velgrerun,simple,complex,2829,3716,attribute_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is the opposite of melverfor

Q: Is velgrerun complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair0,MORE,P,pair0,melverfor,velgrerun,velgrerun,melverfor,11555,7758,novel_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is more/greater than melverfor in all respects

Q: Which is more bold, melverfor or velgrerun? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair0,LESS,P,pair0,melverfor,velgrerun,melverfor,velgrerun,7758,11555,novel_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is less/smaller than melverfor in all respects

Q: Which is more bold, melverfor or velgrerun? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair0,MORE,Q,pair0,melverfor,velgrerun,velgrerun,melverfor,11555,7758,novel_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is more/greater than melverfor in all respects

Q: Which is more complex, melverfor or velgrerun? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair0,LESS,Q,pair0,melverfor,velgrerun,melverfor,velgrerun,7758,11555,novel_word,"Definitions:
- melverfor: something that is bold and complex
- velgrerun is less/smaller than melverfor in all respects

Q: Which is more complex, melverfor or velgrerun? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair1,SAME,P,pair1,soldoprout,bulgrusom,bold,cautious,10758,21205,attribute_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is the same as soldoprout

Q: Is bulgrusom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair1,OPP,P,pair1,soldoprout,bulgrusom,cautious,bold,21205,10758,attribute_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is the opposite of soldoprout

Q: Is bulgrusom bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair1,SAME,Q,pair1,soldoprout,bulgrusom,complex,simple,3716,2829,attribute_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is the same as soldoprout

Q: Is bulgrusom complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair1,OPP,Q,pair1,soldoprout,bulgrusom,simple,complex,2829,3716,attribute_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is the opposite of soldoprout

Q: Is bulgrusom complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair1,MORE,P,pair1,soldoprout,bulgrusom,bulgrusom,soldoprout,4807,2702,novel_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is more/greater than soldoprout in all respects

Q: Which is more bold, soldoprout or bulgrusom? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair1,LESS,P,pair1,soldoprout,bulgrusom,soldoprout,bulgrusom,2702,4807,novel_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is less/smaller than soldoprout in all respects

Q: Which is more bold, soldoprout or bulgrusom? (Answer EXACTLY ONE WORD)
A:"
MORE_Q_pair1,MORE,Q,pair1,soldoprout,bulgrusom,bulgrusom,soldoprout,4807,2702,novel_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is more/greater than soldoprout in all respects

Q: Which is more complex, soldoprout or bulgrusom? (Answer EXACTLY ONE WORD)
A:"
LESS_Q_pair1,LESS,Q,pair1,soldoprout,bulgrusom,soldoprout,bulgrusom,2702,4807,novel_word,"Definitions:
- soldoprout: something that is bold and complex
- bulgrusom is less/smaller than soldoprout in all respects

Q: Which is more complex, soldoprout or bulgrusom? (Answer EXACTLY ONE WORD)
A:"
SAME_P_pair2,SAME,P,pair2,lurziflein,nourormoum,bold,cautious,10758,21205,attribute_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is the same as lurziflein

Q: Is nourormoum bold or cautious? (Answer EXACTLY ONE WORD)
A:"
OPP_P_pair2,OPP,P,pair2,lurziflein,nourormoum,cautious,bold,21205,10758,attribute_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is the opposite of lurziflein

Q: Is nourormoum bold or cautious? (Answer EXACTLY ONE WORD)
A:"
SAME_Q_pair2,SAME,Q,pair2,lurziflein,nourormoum,complex,simple,3716,2829,attribute_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is the same as lurziflein

Q: Is nourormoum complex or simple? (Answer EXACTLY ONE WORD)
A:"
OPP_Q_pair2,OPP,Q,pair2,lurziflein,nourormoum,simple,complex,2829,3716,attribute_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is the opposite of lurziflein

Q: Is nourormoum complex or simple? (Answer EXACTLY ONE WORD)
A:"
MORE_P_pair2,MORE,P,pair2,lurziflein,nourormoum,nourormoum,lurziflein,31219,20605,novel_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is more/greater than lurziflein in all respects

Q: Which is more bold, lurziflein or nourormoum? (Answer EXACTLY ONE WORD)
A:"
LESS_P_pair2,LESS,P,pair2,lurziflein,nourormoum,lurziflein,nourormoum,20605,31219,novel_word,"Definitions:
- lurziflein: something that is bold and complex
- nourormoum is less/smaller than lurziflein in all respects

Q: Which is more bold, lurziflein or nourormoum? (Answer EXACTLY ONE WORD)
A:"
