trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more bold, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is more/greater than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,MORE_LESS_word_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is less/smaller than molwainmom in all respects

Q: Which is more complex, linprarsun or molwainmom? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the same as molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,SAMEOPP_choice_swap,"Definitions:
- molwainmom: something that is bold and complex
- linprarsun is the opposite of molwainmom

Q: Is linprarsun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,MORE_LESS_word_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is more/greater than tunzordem in all respects

Q: Which is more bold, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,MORE_LESS_word_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is less/smaller than tunzordem in all respects

Q: Which is more bold, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,tunzordem,plelsposrun,plelsposrun,tunzordem,MORE_LESS_word_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is more/greater than tunzordem in all respects

Q: Which is more complex, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,tunzordem,plelsposrun,tunzordem,plelsposrun,MORE_LESS_word_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is less/smaller than tunzordem in all respects

Q: Which is more complex, plelsposrun or tunzordem? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,tunzordem,plelsposrun,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is the same as tunzordem

Q: Is plelsposrun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,tunzordem,plelsposrun,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is the opposite of tunzordem

Q: Is plelsposrun cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,tunzordem,plelsposrun,complex,simple,SAMEOPP_choice_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is the same as tunzordem

Q: Is plelsposrun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair1,OPP_Q_pair1,OPP,Q,pair1,tunzordem,plelsposrun,simple,complex,SAMEOPP_choice_swap,"Definitions:
- tunzordem: something that is bold and complex
- plelsposrun is the opposite of tunzordem

Q: Is plelsposrun simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair2,MORE_P_pair2,MORE,P,pair2,pansaissail,felrulmat,felrulmat,pansaissail,MORE_LESS_word_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is more/greater than pansaissail in all respects

Q: Which is more bold, felrulmat or pansaissail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair2,LESS_P_pair2,LESS,P,pair2,pansaissail,felrulmat,pansaissail,felrulmat,MORE_LESS_word_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is less/smaller than pansaissail in all respects

Q: Which is more bold, felrulmat or pansaissail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair2,MORE_Q_pair2,MORE,Q,pair2,pansaissail,felrulmat,felrulmat,pansaissail,MORE_LESS_word_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is more/greater than pansaissail in all respects

Q: Which is more complex, felrulmat or pansaissail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair2,LESS_Q_pair2,LESS,Q,pair2,pansaissail,felrulmat,pansaissail,felrulmat,MORE_LESS_word_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is less/smaller than pansaissail in all respects

Q: Which is more complex, felrulmat or pansaissail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair2,SAME_P_pair2,SAME,P,pair2,pansaissail,felrulmat,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is the same as pansaissail

Q: Is felrulmat cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair2,OPP_P_pair2,OPP,P,pair2,pansaissail,felrulmat,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is the opposite of pansaissail

Q: Is felrulmat cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair2,SAME_Q_pair2,SAME,Q,pair2,pansaissail,felrulmat,complex,simple,SAMEOPP_choice_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is the same as pansaissail

Q: Is felrulmat simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair2,OPP_Q_pair2,OPP,Q,pair2,pansaissail,felrulmat,simple,complex,SAMEOPP_choice_swap,"Definitions:
- pansaissail: something that is bold and complex
- felrulmat is the opposite of pansaissail

Q: Is felrulmat simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair3,MORE_P_pair3,MORE,P,pair3,lenfugron,masresgrum,masresgrum,lenfugron,MORE_LESS_word_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is more/greater than lenfugron in all respects

Q: Which is more bold, masresgrum or lenfugron? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair3,LESS_P_pair3,LESS,P,pair3,lenfugron,masresgrum,lenfugron,masresgrum,MORE_LESS_word_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is less/smaller than lenfugron in all respects

Q: Which is more bold, masresgrum or lenfugron? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair3,MORE_Q_pair3,MORE,Q,pair3,lenfugron,masresgrum,masresgrum,lenfugron,MORE_LESS_word_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is more/greater than lenfugron in all respects

Q: Which is more complex, masresgrum or lenfugron? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair3,LESS_Q_pair3,LESS,Q,pair3,lenfugron,masresgrum,lenfugron,masresgrum,MORE_LESS_word_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is less/smaller than lenfugron in all respects

Q: Which is more complex, masresgrum or lenfugron? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair3,SAME_P_pair3,SAME,P,pair3,lenfugron,masresgrum,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is the same as lenfugron

Q: Is masresgrum cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair3,OPP_P_pair3,OPP,P,pair3,lenfugron,masresgrum,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is the opposite of lenfugron

Q: Is masresgrum cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair3,SAME_Q_pair3,SAME,Q,pair3,lenfugron,masresgrum,complex,simple,SAMEOPP_choice_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is the same as lenfugron

Q: Is masresgrum simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair3,OPP_Q_pair3,OPP,Q,pair3,lenfugron,masresgrum,simple,complex,SAMEOPP_choice_swap,"Definitions:
- lenfugron: something that is bold and complex
- masresgrum is the opposite of lenfugron

Q: Is masresgrum simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair4,MORE_P_pair4,MORE,P,pair4,traswansoul,girneisli,girneisli,traswansoul,MORE_LESS_word_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is more/greater than traswansoul in all respects

Q: Which is more bold, girneisli or traswansoul? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair4,LESS_P_pair4,LESS,P,pair4,traswansoul,girneisli,traswansoul,girneisli,MORE_LESS_word_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is less/smaller than traswansoul in all respects

Q: Which is more bold, girneisli or traswansoul? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair4,MORE_Q_pair4,MORE,Q,pair4,traswansoul,girneisli,girneisli,traswansoul,MORE_LESS_word_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is more/greater than traswansoul in all respects

Q: Which is more complex, girneisli or traswansoul? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair4,LESS_Q_pair4,LESS,Q,pair4,traswansoul,girneisli,traswansoul,girneisli,MORE_LESS_word_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is less/smaller than traswansoul in all respects

Q: Which is more complex, girneisli or traswansoul? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair4,SAME_P_pair4,SAME,P,pair4,traswansoul,girneisli,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is the same as traswansoul

Q: Is girneisli cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair4,OPP_P_pair4,OPP,P,pair4,traswansoul,girneisli,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is the opposite of traswansoul

Q: Is girneisli cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair4,SAME_Q_pair4,SAME,Q,pair4,traswansoul,girneisli,complex,simple,SAMEOPP_choice_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is the same as traswansoul

Q: Is girneisli simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair4,OPP_Q_pair4,OPP,Q,pair4,traswansoul,girneisli,simple,complex,SAMEOPP_choice_swap,"Definitions:
- traswansoul: something that is bold and complex
- girneisli is the opposite of traswansoul

Q: Is girneisli simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair5,MORE_P_pair5,MORE,P,pair5,ferzeisrail,sursternaik,sursternaik,ferzeisrail,MORE_LESS_word_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is more/greater than ferzeisrail in all respects

Q: Which is more bold, sursternaik or ferzeisrail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair5,LESS_P_pair5,LESS,P,pair5,ferzeisrail,sursternaik,ferzeisrail,sursternaik,MORE_LESS_word_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is less/smaller than ferzeisrail in all respects

Q: Which is more bold, sursternaik or ferzeisrail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair5,MORE_Q_pair5,MORE,Q,pair5,ferzeisrail,sursternaik,sursternaik,ferzeisrail,MORE_LESS_word_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is more/greater than ferzeisrail in all respects

Q: Which is more complex, sursternaik or ferzeisrail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair5,LESS_Q_pair5,LESS,Q,pair5,ferzeisrail,sursternaik,ferzeisrail,sursternaik,MORE_LESS_word_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is less/smaller than ferzeisrail in all respects

Q: Which is more complex, sursternaik or ferzeisrail? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair5,SAME_P_pair5,SAME,P,pair5,ferzeisrail,sursternaik,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is the same as ferzeisrail

Q: Is sursternaik cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair5,OPP_P_pair5,OPP,P,pair5,ferzeisrail,sursternaik,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is the opposite of ferzeisrail

Q: Is sursternaik cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair5,SAME_Q_pair5,SAME,Q,pair5,ferzeisrail,sursternaik,complex,simple,SAMEOPP_choice_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is the same as ferzeisrail

Q: Is sursternaik simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair5,OPP_Q_pair5,OPP,Q,pair5,ferzeisrail,sursternaik,simple,complex,SAMEOPP_choice_swap,"Definitions:
- ferzeisrail: something that is bold and complex
- sursternaik is the opposite of ferzeisrail

Q: Is sursternaik simple or complex? (Answer EXACTLY ONE WORD)
A:"
