trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
SAME_P_pair0,SAME,P,pair0,bold,cautious,14265,46878, bold, cautious,1,1
OPP_P_pair0,OPP,P,pair0,cautious,bold,46878,14265, cautious, bold,1,1
SAME_Q_pair0,SAME,Q,pair0,complex,simple,6485,4382, complex, simple,1,1
OPP_Q_pair0,OPP,Q,pair0,simple,complex,4382,6485, simple, complex,1,1
MORE_P_pair0,MORE,P,pair0,linprarsun,molwainmom,10006,22337, lin, mol,4,4
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,22337,10006, mol, lin,4,4
MORE_Q_pair0,MORE,Q,pair0,linprarsun,molwainmom,10006,22337, lin, mol,4,4
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,22337,10006, mol, lin,4,4
SAME_P_pair1,SAME,P,pair1,bold,cautious,14265,46878, bold, cautious,1,1
OPP_P_pair1,OPP,P,pair1,cautious,bold,46878,14265, cautious, bold,1,1
SAME_Q_pair1,SAME,Q,pair1,complex,simple,6485,4382, complex, simple,1,1
OPP_Q_pair1,OPP,Q,pair1,simple,complex,4382,6485, simple, complex,1,1
MORE_P_pair1,MORE,P,pair1,plelsposrun,tunzordem,7245,11716, ple, tun,4,4
LESS_P_pair1,LESS,P,pair1,tunzordem,plelsposrun,11716,7245, tun, ple,4,4
MORE_Q_pair1,MORE,Q,pair1,plelsposrun,tunzordem,7245,11716, ple, tun,4,4
LESS_Q_pair1,LESS,Q,pair1,tunzordem,plelsposrun,11716,7245, tun, ple,4,4
SAME_P_pair2,SAME,P,pair2,bold,cautious,14265,46878, bold, cautious,1,1
OPP_P_pair2,OPP,P,pair2,cautious,bold,46878,14265, cautious, bold,1,1
SAME_Q_pair2,SAME,Q,pair2,complex,simple,6485,4382, complex, simple,1,1
OPP_Q_pair2,OPP,Q,pair2,simple,complex,4382,6485, simple, complex,1,1
MORE_P_pair2,MORE,P,pair2,felrulmat,pansaissail,18515,64883, fel, pans,4,4
LESS_P_pair2,LESS,P,pair2,pansaissail,felrulmat,64883,18515, pans, fel,4,4
MORE_Q_pair2,MORE,Q,pair2,felrulmat,pansaissail,18515,64883, fel, pans,4,4
