prompt_id,clean_text,corrupt_text,io_name,s_name
0,"When John and Jack went to the store, Jack gave a drink to","When Jack and John went to the store, John gave a drink to",John,Jack
1,"When Frank and Bob went to the restaurant, Bob gave the menu to","When Bob and Frank went to the restaurant, Frank gave the menu to",Frank,Bob
2,"When Bob and Iris walked to the park, Iris gave a gift to","When Iris and Bob walked to the park, Bob gave a gift to",Bob,Iris
3,"When Alice and Henry went to the library, Henry passed a book to","When Henry and Alice went to the library, Alice passed a book to",Alice,Henry
4,"When Mary and John arrived at the office, John handed a letter to","When John and Mary arrived at the office, Mary handed a letter to",Mary,John
5,"When Eve and Bob went to the store, Bob gave a drink to","When Bob and Eve went to the store, Eve gave a drink to",Eve,Bob
6,"When John and Grace went to the library, Grace passed a book to","When Grace and John went to the library, John passed a book to",John,Grace
7,"When Leo and Bob walked to the park, Bob gave a gift to","When Bob and Leo walked to the park, Leo gave a gift to",Leo,Bob
8,"When Grace and Kate arrived at the office, Kate handed a letter to","When Kate and Grace arrived at the office, Grace handed a letter to",Grace,Kate
9,"When Diana and Jack went to the store, Jack gave a drink to","When Jack and Diana went to the store, Diana gave a drink to",Diana,Jack
10,"When Iris and Charlie arrived at the office, Charlie handed a letter to","When Charlie and Iris arrived at the office, Iris handed a letter to",Iris,Charlie
11,"When Eve and Kate walked to the park, Kate gave a gift to","When Kate and Eve walked to the park, Eve gave a gift to",Eve,Kate
12,"When Bob and Mary went to the restaurant, Mary gave the menu to","When Mary and Bob went to the restaurant, Bob gave the menu to",Bob,Mary
13,"When Bob and Diana arrived at the office, Diana handed a letter to","When Diana and Bob arrived at the office, Bob handed a letter to",Bob,Diana
14,"When Grace and Kate went to the restaurant, Kate gave the menu to","When Kate and Grace went to the restaurant, Grace gave the menu to",Grace,Kate
15,"When Nina and Grace went to the store, Grace gave a drink to","When Grace and Nina went to the store, Nina gave a drink to",Nina,Grace
16,"When Kate and Mary went to the store, Mary gave a drink to","When Mary and Kate went to the store, Kate gave a drink to",Kate,Mary
17,"When Henry and Leo went to the library, Leo passed a book to","When Leo and Henry went to the library, Henry passed a book to",Henry,Leo
18,"When Jack and Henry went to the library, Henry passed a book to","When Henry and Jack went to the library, Jack passed a book to",Jack,Henry
19,"When Alice and John walked to the park, John gave a gift to","When John and Alice walked to the park, Alice gave a gift to",Alice,John
20,"When Henry and Mary walked to the park, Mary gave a gift to","When Mary and Henry walked to the park, Henry gave a gift to",Henry,Mary
