trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,d_plus,correct_rank,is_argmax_correct,generated_response_50,generated_response_final,is_string_correct_50,is_string_correct_final,max_new_tokens_used
SAME_P_pair0,SAME,P,pair0,molwainmom,linprarsun,bold,cautious,14265,46878,6.6875,1,True," bold

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun the same as molwainmom? (Answer EXACTLY ONE WORD)
A:"," bold

Q: Is linprarsun complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun the same as molwainmom? (Answer EXACTLY ONE WORD)
A:",True,True,50
OPP_P_pair0,OPP,P,pair0,molwainmom,linprarsun,cautious,bold,46878,14265,6.625,1,True," cautious

Q: Is molwainmom complex or simple? (Answer EXACTly one word)
A: complex

Q: Is linprarsun the opposite of molwainmom? (Answer exactly one word)
A: yes

"," cautious

Q: Is molwainmom complex or simple? (Answer EXACTly one word)
A: complex

Q: Is linprarsun the opposite of molwainmom? (Answer exactly one word)
A: yes

",True,True,50
SAME_Q_pair0,SAME,Q,pair0,molwainmom,linprarsun,complex,simple,6485,4382,4.1875,1,True," complex

Q: Is linprarsun bold or weak? (Answer EXACTLY ONE WORD)
A: bold

Q: What does linprarsun refer to? (Answer EXACTLY ONE WORD)
A: something

Q:"," complex

Q: Is linprarsun bold or weak? (Answer EXACTLY ONE WORD)
A: bold

Q: What does linprarsun refer to? (Answer EXACTLY ONE WORD)
A: something

Q:",True,True,50
OPP_Q_pair0,OPP,Q,pair0,molwainmom,linprarsun,simple,complex,4382,6485,5.875,1,True," simple

Q: Is molwainmom complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: not

Q"," simple

Q: Is molwainmom complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is linprarsun bold or not bold? (Answer EXACTLY ONE WORD)
A: not

Q",True,True,50
MORE_P_pair0,MORE,P,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,4.25,1,True," linprarsun

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is more bold and complex, molwainmom"," linprarsun

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is more bold and complex, molwainmom",True,True,50
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.875,1,True," molwainmom

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: molwainmom

Q: Is linprarsun less than molwainmom"," molwainmom

Q: Which is more complex, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: molwainmom

Q: Is linprarsun less than molwainmom",True,True,50
MORE_Q_pair0,MORE,Q,pair0,molwainmom,linprarsun,linprarsun,molwainmom,10006,22337,4.0625,1,True," linprarsun

Q: Which is bolder, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is more complex than the other? (Answer EX"," linprarsun

Q: Which is bolder, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is more complex than the other? (Answer EX",True,True,50
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,molwainmom,linprarsun,22337,10006,4.3125,1,True," molwainmom

Q: Which is smaller, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is bolder, molwainmom or linpr"," molwainmom

Q: Which is smaller, molwainmom or linprarsun? (Answer EXACTLY ONE WORD)
A: linprarsun

Q: Which is bolder, molwainmom or linpr",True,True,50
SAME_P_pair1,SAME,P,pair1,tunzordem,plelsposrun,bold,cautious,14265,46878,8.0625,1,True," Bold

Q: What is a tunzordem? (Answer IN EXACTLY 10 WORDS)
A: A tunzordem is a bold and complex concept or idea. 

Q: Is a tunzordem the same"," Bold

Q: What is a tunzordem? (Answer IN EXACTLY 10 WORDS)
A: A tunzordem is a bold and complex concept or idea. 

Q: Is a tunzordem the same",True,True,50
OPP_P_pair1,OPP,P,pair1,tunzordem,plelsposrun,cautious,bold,46878,14265,7.625,1,True," cautious

Q: Is tunzordem complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is plelsposrun bold or complex? (Answer EXACTLY ONE WORD)
A: neither

Q:"," cautious

Q: Is tunzordem complex or simple? (Answer EXACTLY ONE WORD)
A: complex

Q: Is plelsposrun bold or complex? (Answer EXACTLY ONE WORD)
A: neither

Q:",True,True,50
