trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
SAME_P_pair0,SAME,P,pair0,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair0,OPP,P,pair0,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair0,SAME,Q,pair0,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair0,OPP,Q,pair0,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair0,MORE,P,pair0,ginrorzes,mitailplus,39733,10255, gin, mit,3,3
LESS_P_pair0,LESS,P,pair0,mitailplus,ginrorzes,10255,39733, mit, gin,3,3
MORE_Q_pair0,MORE,Q,pair0,ginrorzes,mitailplus,39733,10255, gin, mit,3,3
LESS_Q_pair0,LESS,Q,pair0,mitailplus,ginrorzes,10255,39733, mit, gin,3,3
SAME_P_pair1,SAME,P,pair1,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair1,OPP,P,pair1,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair1,SAME,Q,pair1,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair1,OPP,Q,pair1,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair1,MORE,P,pair1,linprarsun,molwainmom,9493,18605, lin, mol,4,4
LESS_P_pair1,LESS,P,pair1,molwainmom,linprarsun,18605,9493, mol, lin,4,4
MORE_Q_pair1,MORE,Q,pair1,linprarsun,molwainmom,9493,18605, lin, mol,4,4
LESS_Q_pair1,LESS,Q,pair1,molwainmom,linprarsun,18605,9493, mol, lin,4,4
SAME_P_pair2,SAME,P,pair2,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair2,OPP,P,pair2,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair2,SAME,Q,pair2,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair2,OPP,Q,pair2,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair2,MORE,P,pair2,troulruprel,fingreibrem,4057,8038, trou, fing,4,4
LESS_P_pair2,LESS,P,pair2,fingreibrem,troulruprel,8038,4057, fing, trou,4,4
MORE_Q_pair2,MORE,Q,pair2,troulruprel,fingreibrem,4057,8038, trou, fing,4,4
LESS_Q_pair2,LESS,Q,pair2,fingreibrem,troulruprel,8038,4057, fing, trou,4,4
SAME_P_pair3,SAME,P,pair3,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair3,OPP,P,pair3,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair3,SAME,Q,pair3,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair3,OPP,Q,pair3,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair3,MORE,P,pair3,putreirdeim,sursternaik,1234,969, put, sur,5,5
